;;;;;;;;;;;;;;;
II.1.2 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2022 (continuação);;;;;;;;;;;;;;;
II.1.2 - Resident population by municipality and according to age groups and sex on 31/12/2022 (continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;25-64 anos;;;65 e mais anos;;;;;;;;;;;
;HM;H;M;Total;;;75 e mais anos;;;;;Desagregação Territorial;;;
;;;;HM;H;M;HM;H;M;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Vila Nova de Gaia;  167 823;  80 056;  87 767;  68 527;  30 165;  38 362;  30 446;  12 810;  17 636;;11A1317;;;;x
   Alto Tâmega;  38 997;  19 192;  19 805;  30 044;  13 433;  16 611;  15 542;  6 404;  9 138;;11B;;;x;
Boticas;  2 234;  1 118;  1 116;  1 869;   824;  1 045;   991;   410;   581;;11B1702;;;;x
Chaves;  17 915;  8 653;  9 262;  12 455;  5 557;  6 898;  6 323;  2 623;  3 700;;11B1703;;;;x
Montalegre;  4 103;  2 100;  2 003;  3 699;  1 676;  2 023;  2 008;   834;  1 174;;11B1706;;;;x
Ribeira de Pena;  2 838;  1 446;  1 392;  1 883;   858;  1 025;   943;   385;   558;;11B1709;;;;x
Valpaços;  6 306;  3 101;  3 205;  5 967;  2 619;  3 348;  3 180;  1 280;  1 900;;11B1712;;;;x
Vila Pouca de Aguiar;  5 601;  2 774;  2 827;  4 171;  1 899;  2 272;  2 097;   872;  1 225;;11B1713;;;;x
   Tâmega e Sousa;  227 549;  110 956;  116 593;  81 875;  36 136;  45 739;  36 066;  14 619;  21 447;;11C;;;x;
Amarante;  28 078;  13 483;  14 595;  12 159;  5 443;  6 716;  5 431;  2 230;  3 201;;11C1301;;;;x
Baião;  9 388;  4 557;  4 831;  4 155;  1 770;  2 385;  1 981;   766;  1 215;;11C1302;;;;x
Castelo de Paiva;  8 456;  4 204;  4 252;  3 357;  1 488;  1 869;  1 544;   598;   946;;11C0106;;;;x
Celorico de Basto;  9 275;  4 621;  4 654;  4 371;  1 838;  2 533;  2 175;   821;  1 354;;11C0305;;;;x
Cinfães;  9 108;  4 522;  4 586;  4 610;  2 038;  2 572;  2 283;   908;  1 375;;11C1804;;;;x
Felgueiras;  31 459;  15 256;  16 203;  10 665;  4 730;  5 935;  4 556;  1 856;  2 700;;11C1303;;;;x
Lousada;  27 610;  13 316;  14 294;  7 821;  3 499;  4 322;  3 196;  1 328;  1 868;;11C1305;;;;x
Marco de Canaveses;  27 631;  13 412;  14 219;  9 460;  4 123;  5 337;  4 078;  1 651;  2 427;;11C1307;;;;x
Paços de Ferreira;  32 140;  16 047;  16 093;  9 560;  4 288;  5 272;  3 958;  1 652;  2 306;;11C1309;;;;x
Penafiel;  39 253;  18 952;  20 301;  13 126;  5 806;  7 320;  5 574;  2 300;  3 274;;11C1311;;;;x
Resende;  5 151;  2 586;  2 565;  2 591;  1 113;  1 478;  1 290;   509;   781;;11C1813;;;;x
   Douro;  92 904;  45 509;  47 395;  53 981;  23 547;  30 434;  26 853;  10 570;  16 283;;11D;;;x;
Alijó;  5 011;  2 574;  2 437;  3 499;  1 543;  1 956;  1 770;   721;  1 049;;11D1701;;;;x
Armamar;  2 868;  1 408;  1 460;  1 732;   732;  1 000;   944;   363;   581;;11D1801;;;;x
Carrazeda de Ansiães;  2 438;  1 267;  1 171;  2 067;   910;  1 157;  1 069;   441;   628;;11D0403;;;;x
Freixo de Espada à Cinta;  1 392;   704;   688;  1 181;   502;   679;   695;   275;   420;;11D0404;;;;x
Lamego;  12 745;  6 218;  6 527;  6 519;  2 792;  3 727;  3 125;  1 166;  1 959;;11D1805;;;;x
Mesão Frio;  1 793;   868;   925;  1 011;   429;   582;   467;   188;   279;;11D1704;;;;x
Moimenta da Beira;  4 675;  2 258;  2 417;  2 880;  1 278;  1 602;  1 504;   625;   879;;11D1807;;;;x
Murça;  2 455;  1 227;  1 228;  1 878;   833;  1 045;   974;   413;   561;;11D1707;;;;x
Penedono;  1 319;   659;   660;   957;   410;   547;   533;   197;   336;;11D1812;;;;x
Peso da Régua;  7 506;  3 612;  3 894;  3 971;  1 715;  2 256;  1 808;   670;  1 138;;11D1708;;;;x
Sabrosa;  2 684;  1 351;  1 333;  1 877;   840;  1 037;   937;   356;   581;;11D1710;;;;x
Santa Marta de Penaguião;  2 943;  1 451;  1 492;  1 944;   854;  1 090;   909;   344;   565;;11D1711;;;;x
São João da Pesqueira;  3 476;  1 761;  1 715;  1 913;   855;  1 058;   964;   388;   576;;11D1815;;;;x
Sernancelhe;  2 851;  1 462;  1 389;  1 853;   828;  1 025;   972;   404;   568;;11D1818;;;;x
Tabuaço;  2 444;  1 202;  1 242;  1 647;   730;   917;   801;   312;   489;;11D1819;;;;x
Tarouca;  3 871;  1 898;  1 973;  1 893;   851;  1 042;   894;   362;   532;;11D1820;;;;x
Torre de Moncorvo;  2 955;  1 505;  1 450;  2 763;  1 204;  1 559;  1 526;   635;   891;;11D0409;;;;x
Vila Nova de Foz Côa;  2 969;  1 534;  1 435;  2 300;   983;  1 317;  1 207;   455;   752;;11D0914;;;;x
Vila Real;  26 509;  12 550;  13 959;  12 096;  5 258;  6 838;  5 754;  2 255;  3 499;;11D1714;;;;x
   Terras de Trás-os-Montes;  50 803;  25 054;  25 749;  36 678;  16 540;  20 138;  19 246;  8 185;  11 061;;11E;;;x;
Alfândega da Fé;  1 941;   983;   958;  1 600;   754;   846;   863;   392;   471;;11E0401;;;;x
Bragança;  17 654;  8 569;  9 085;  10 006;  4 493;  5 513;  5 044;  2 168;  2 876;;11E0402;;;;x
Macedo de Cavaleiros;  6 633;  3 269;  3 364;  4 991;  2 212;  2 779;  2 559;  1 065;  1 494;;11E0405;;;;x
Miranda do Douro;  2 807;  1 395;  1 412;  2 521;  1 145;  1 376;  1 421;   598;   823;;11E0406;;;;x
Mirandela;  10 247;  4 975;  5 272;  7 001;  3 089;  3 912;  3 612;  1 525;  2 087;;11E0407;;;;x
Mogadouro;  3 804;  1 938;  1 866;  3 190;  1 440;  1 750;  1 777;   745;  1 032;;11E0408;;;;x
Vila Flor;  2 803;  1 396;  1 407;  2 167;   973;  1 194;  1 102;   446;   656;;11E0410;;;;x
Vimioso;  1 743;   901;   842;  1 812;   854;   958;   960;   411;   549;;11E0411;;;;x
Vinhais;  3 171;  1 628;  1 543;  3 390;  1 580;  1 810;  1 908;   835;  1 073;;11E0412;;;;x
  Centro; 1 149 908;  560 982;  588 926;  618 259;  268 986;  349 273;  315 386;  126 932;  188 454;;16;;x;;
   Oeste;  196 358;  96 272;  100 086;  91 716;  40 638;  51 078;  45 436;  18 809;  26 627;;16B;;;x;
Alcobaça;  28 986;  14 347;  14 639;  14 696;  6 486;  8 210;  7 297;  3 039;  4 258;;16B1001;;;;x
Alenquer;  25 097;  12 308;  12 789;  9 470;  4 203;  5 267;  4 668;  1 898;  2 770;;16B1101;;;;x
Arruda dos Vinhos;  7 920;  3 906;  4 014;  2 809;  1 230;  1 579;  1 407;   572;   835;;16B1102;;;;x
Bombarral;  6 844;  3 349;  3 495;  3 674;  1 635;  2 039;  1 756;   729;  1 027;;16B1005;;;;x
Cadaval;  6 859;  3 368;  3 491;  4 124;  1 832;  2 292;  2 133;   890;  1 243;;16B1104;;;;x
Caldas da Rainha;  27 001;  12 911;  14 090;  13 648;  5 985;  7 663;  6 797;  2 801;  3 996;;16B1006;;;;x
Lourinhã;  14 043;  6 841;  7 202;  6 913;  3 142;  3 771;  3 350;  1 413;  1 937;;16B1108;;;;x
Nazaré;  7 751;  3 809;  3 942;  4 019;  1 737;  2 282;  1 806;   717;  1 089;;16B1011;;;;x
Óbidos;  6 570;  3 278;  3 292;  3 375;  1 529;  1 846;  1 617;   680;   937;;16B1012;;;;x
Peniche;  13 425;  6 539;  6 886;  7 111;  3 129;  3 982;  3 474;  1 432;  2 042;;16B1014;;;;x
Sobral de Monte Agraço;  6 142;  3 043;  3 099;  2 312;  1 025;  1 287;  1 162;   466;   696;;16B1112;;;;x
Torres Vedras;  45 720;  22 573;  23 147;  19 565;  8 705;  10 860;  9 969;  4 172;  5 797;;16B1113;;;;x
   Região de Aveiro;  200 239;  97 561;  102 678;  90 098;  39 589;  50 509;  43 398;  17 952;  25 446;;16D;;;x;
Águeda;  24 154;  11 769;  12 385;  12 269;  5 533;  6 736;  5 850;  2 496;  3 354;;16D0101;;;;x
Albergaria-a-Velha;  13 569;  6 732;  6 837;  5 861;  2 633;  3 228;  2 749;  1 174;  1 575;;16D0102;;;;x
Anadia;  13 961;  6 846;  7 115;  8 290;  3 603;  4 687;  4 252;  1 724;  2 528;;16D0103;;;;x
Aveiro;  45 999;  22 165;  23 834;  18 195;  7 934;  10 261;  8 518;  3 528;  4 990;;16D0105;;;;x
