;;;;;;;;;;;;;;;
II.1.2 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2022 (continuação);;;;;;;;;;;;;;;
II.1.2 - Resident population by municipality and according to age groups and sex on 31/12/2022 (continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;25-64 anos;;;65 e mais anos;;;;;;;;;;;
;HM;H;M;Total;;;75 e mais anos;;;;;Desagregação Territorial;;;
;;;;HM;H;M;HM;H;M;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Lisboa;  292 574;  142 011;  150 563;  129 140;  50 362;  78 778;  69 709;  24 766;  44 943;;1701106;;;;x
Loures;  105 577;  49 959;  55 618;  45 893;  19 450;  26 443;  22 672;  9 253;  13 419;;1701107;;;;x
Mafra;  47 976;  23 268;  24 708;  16 108;  7 161;  8 947;  7 776;  3 262;  4 514;;1701109;;;;x
Moita;  34 970;  16 594;  18 376;  15 060;  6 434;  8 626;  6 856;  2 752;  4 104;;1701506;;;;x
Montijo;  31 435;  15 596;  15 839;  10 869;  4 603;  6 266;  5 295;  2 049;  3 246;;1701507;;;;x
Odivelas;  79 537;  37 773;  41 764;  32 221;  13 608;  18 613;  15 361;  6 236;  9 125;;1701116;;;;x
Oeiras;  87 810;  41 046;  46 764;  42 355;  17 317;  25 038;  21 564;  8 665;  12 899;;1701110;;;;x
Palmela;  37 743;  18 495;  19 248;  15 218;  6 597;  8 621;  7 722;  3 132;  4 590;;1701508;;;;x
Seixal;  88 700;  41 631;  47 069;  37 716;  16 480;  21 236;  17 261;  7 489;  9 772;;1701510;;;;x
Sesimbra;  28 939;  13 953;  14 986;  11 264;  5 178;  6 086;  5 320;  2 343;  2 977;;1701511;;;;x
Setúbal;  62 536;  29 768;  32 768;  29 281;  12 672;  16 609;  13 973;  5 752;  8 221;;1701512;;;;x
Sintra;  212 996;  100 332;  112 664;  72 286;  30 788;  41 498;  33 554;  13 508;  20 046;;1701111;;;;x
Vila Franca de Xira;  75 081;  35 722;  39 359;  26 681;  11 647;  15 034;  11 585;  4 803;  6 782;;1701114;;;;x
  Alentejo;  363 101;  182 737;  180 364;  192 030;  83 016;  109 014;  100 442;  39 852;  60 590;;18;;x;;
   Alentejo Litoral;  52 433;  28 374;  24 059;  26 153;  11 892;  14 261;  13 257;  5 485;  7 772;;181;;;x;
Alcácer do Sal;  5 286;  2 678;  2 608;  3 504;  1 522;  1 982;  1 759;   686;  1 073;;1811501;;;;x
Grândola;  7 083;  3 770;  3 313;  3 837;  1 741;  2 096;  2 031;   852;  1 179;;1811505;;;;x
Odemira;  18 492;  11 282;  7 210;  7 160;  3 422;  3 738;  3 788;  1 655;  2 133;;1810211;;;;x
Santiago do Cacém;  13 869;  6 828;  7 041;  8 299;  3 728;  4 571;  4 088;  1 661;  2 427;;1811509;;;;x
Sines;  7 703;  3 816;  3 887;  3 353;  1 479;  1 874;  1 591;   631;   960;;1811513;;;;x
   Baixo Alentejo;  57 679;  29 626;  28 053;  31 410;  13 516;  17 894;  16 168;  6 238;  9 930;;184;;;x;
Aljustrel;  4 466;  2 337;  2 129;  2 551;  1 123;  1 428;  1 210;   463;   747;;1840201;;;;x
Almodôvar;  3 199;  1 664;  1 535;  2 140;   953;  1 187;  1 131;   483;   648;;1840202;;;;x
Alvito;  1 092;   523;   569;   630;   258;   372;   340;   116;   224;;1840203;;;;x
Barrancos;   764;   379;   385;   342;   136;   206;   185;   55;   130;;1840204;;;;x
Beja;  17 348;  8 813;  8 535;  7 809;  3 263;  4 546;  3 949;  1 467;  2 482;;1840205;;;;x
Castro Verde;  3 552;  1 800;  1 752;  1 879;   810;  1 069;   954;   358;   596;;1840206;;;;x
Cuba;  2 278;  1 154;  1 124;  1 116;   477;   639;   629;   242;   387;;1840207;;;;x
Ferreira do Alentejo;  3 948;  2 157;  1 791;  2 221;   979;  1 242;  1 095;   453;   642;;1840208;;;;x
Mértola;  2 938;  1 553;  1 385;  2 255;   982;  1 273;  1 251;   492;   759;;1840209;;;;x
Moura;  6 234;  3 152;  3 082;  3 538;  1 489;  2 049;  1 777;   658;  1 119;;1840210;;;;x
Ourique;  2 287;  1 141;  1 146;  1 637;   741;   896;   910;   392;   518;;1840212;;;;x
Serpa;  6 924;  3 611;  3 313;  3 894;  1 700;  2 194;  2 004;   775;  1 229;;1840213;;;;x
Vidigueira;  2 649;  1 342;  1 307;  1 398;   605;   793;   733;   284;   449;;1840214;;;;x
   Lezíria do Tejo;  124 219;  61 349;  62 870;  62 248;  26 636;  35 612;  32 161;  12 710;  19 451;;185;;;x;
Almeirim;  11 419;  5 536;  5 883;  5 749;  2 432;  3 317;  3 030;  1 234;  1 796;;1851403;;;;x
Alpiarça;  3 465;  1 691;  1 774;  2 046;   849;  1 197;  1 042;   384;   658;;1851404;;;;x
Azambuja;  11 849;  6 276;  5 573;  5 202;  2 253;  2 949;  2 630;  1 066;  1 564;;1851103;;;;x
Benavente;  16 870;  8 207;  8 663;  6 251;  2 735;  3 516;  3 040;  1 253;  1 787;;1851405;;;;x
Cartaxo;  12 403;  6 065;  6 338;  6 030;  2 636;  3 394;  3 113;  1 278;  1 835;;1851406;;;;x
Chamusca;  4 185;  2 105;  2 080;  2 689;  1 162;  1 527;  1 423;   565;   858;;1851407;;;;x
Coruche;  8 131;  4 005;  4 126;  5 748;  2 456;  3 292;  3 089;  1 202;  1 887;;1851409;;;;x
Golegã;  2 676;  1 314;  1 362;  1 535;   658;   877;   802;   318;   484;;1851412;;;;x
Rio Maior;  11 378;  5 725;  5 653;  5 198;  2 237;  2 961;  2 629;  1 057;  1 572;;1851414;;;;x
Salvaterra de Magos;  11 536;  5 738;  5 798;  6 042;  2 594;  3 448;  3 133;  1 210;  1 923;;1851415;;;;x
Santarém;  30 307;  14 687;  15 620;  15 758;  6 624;  9 134;  8 230;  3 143;  5 087;;1851416;;;;x
   Alto Alentejo;  50 943;  25 015;  25 928;  30 865;  13 190;  17 675;  16 931;  6 653;  10 278;;186;;;x;
Alter do Chão;  1 474;   713;   761;  1 025;   421;   604;   621;   224;   397;;1861201;;;;x
Arronches;  1 385;   716;   669;   842;   356;   486;   524;   209;   315;;1861202;;;;x
Avis;  1 807;   903;   904;  1 230;   536;   694;   652;   267;   385;;1861203;;;;x
Campo Maior;  3 982;  1 946;  2 036;  1 897;   812;  1 085;   939;   372;   567;;1861204;;;;x
Castelo de Vide;  1 545;   746;   799;  1 103;   473;   630;   630;   246;   384;;1861205;;;;x
Crato;  1 474;   747;   727;  1 237;   507;   730;   749;   273;   476;;1861206;;;;x
Elvas;  10 344;  5 022;  5 322;  5 011;  2 125;  2 886;  2 591;   997;  1 594;;1861207;;;;x
Fronteira;  1 399;   673;   726;   953;   409;   544;   518;   203;   315;;1861208;;;;x
Gavião;  1 484;   736;   748;  1 396;   592;   804;   894;   352;   542;;1861209;;;;x
Marvão;  1 468;   711;   757;  1 019;   459;   560;   577;   244;   333;;1861210;;;;x
Monforte;  1 403;   668;   735;   836;   354;   482;   509;   208;   301;;1861211;;;;x
Nisa;  2 517;  1 286;  1 231;  2 292;   960;  1 332;  1 371;   509;   862;;1861212;;;;x
Ponte de Sor;  7 563;  3 799;  3 764;  4 509;  1 929;  2 580;  2 418;   949;  1 469;;1861213;;;;x
Portalegre;  10 993;  5 329;  5 664;  6 146;  2 709;  3 437;  3 104;  1 285;  1 819;;1861214;;;;x
Sousel;  2 105;  1 020;  1 085;  1 369;   548;   821;   834;   315;   519;;1861215;;;;x
   Alentejo Central;  77 827;  38 373;  39 454;  41 354;  17 782;  23 572;  21 925;  8 766;  13 159;;187;;;x;
Alandroal;  2 521;  1 293;  1 228;  1 551;   673;   878;   926;   385;   541;;1870701;;;;x
Arraiolos;  3 464;  1 782;  1 682;  1 879;   796;  1 083;   999;   399;   600;;1870702;;;;x
Borba;  3 217;  1 617;  1 600;  1 827;   830;   997;  1 032;   431;   601;;1870703;;;;x
Estremoz;  6 390;  3 115;  3 275;  3 597;  1 526;  2 071;  2 121;   828;  1 293;;1870704;;;;x
Évora;  28 088;  13 484;  14 604;  12 847;  5 452;  7 395;  6 198;  2 433;  3 765;;1870705;;;;x
Montemor-o-Novo;  7 794;  3 875;  3 919;  4 777;  2 078;  2 699;  2 651;  1 084;  1 567;;1870706;;;;x
Mora;  1 890;   929;   961;  1 592;   700;   892;   881;   358;   523;;1870707;;;;x
Mourão;  1 156;   607;   549;   646;   302;   344;   336;   143;   193;;1870708;;;;x
Portel;  2 899;  1 477;  1 422;  1 590;   688;   902;   846;   327;   519;;1870709;;;;x
Redondo;  3 214;  1 654;  1 560;  1 722;   741;   981;   947;   371;   576;;1870710;;;;x
Reguengos de Monsaraz;  4 998;  2 479;  2 519;  2 594;  1 110;  1 484;  1 330;   526;   804;;1870711;;;;x
Vendas Novas;  5 534;  2 746;  2 788;  3 346;  1 443;  1 903;  1 869;   793;  1 076;;1870712;;;;x
Viana do Alentejo;  2 828;  1 399;  1 429;  1 396;   585;   811;   779;   284;   495;;1870713;;;;x
Vila Viçosa;  3 834;  1 916;  1 918;  1 990;   858;  1 132;  1 010;   404;   606;;1870714;;;;x
  Algarve;  247 100;  120 566;  126 534;  114 016;  52 374;  61 642;  53 810;  23 196;  30 614;;150;;x;x;
Albufeira;  25 635;  12 517;  13 118;  8 549;  4 026;  4 523;  3 689;  1 622;  2 067;;1500801;;;;x
Alcoutim;   976;   517;   459;  1 135;   485;   650;   670;   274;   396;;1500802;;;;x
Aljezur;  3 223;  1 643;  1 580;  1 634;   776;   858;   855;   376;   479;;1500803;;;;x
Castro Marim;  3 157;  1 570;  1 587;  2 134;  1 052;  1 082;  1 067;   488;   579;;1500804;;;;x
Faro;  36 539;  17 628;  18 911;  15 288;  6 605;  8 683;  7 347;  2 989;  4 358;;1500805;;;;x
Lagoa;  12 596;  6 155;  6 441;  5 787;  2 709;  3 078;  2 570;  1 111;  1 459;;1500806;;;;x
Lagos;  17 292;  8 404;  8 888;  8 646;  4 044;  4 602;  3 749;  1 634;  2 115;;1500807;;;;x
Loulé;  38 129;  18 475;  19 654;  17 270;  7 962;  9 308;  8 363;  3 673;  4 690;;1500808;;;;x
Monchique;  2 591;  1 327;  1 264;  1 822;   896;   926;   983;   439;   544;;1500809;;;;x
Olhão;  23 072;  11 302;  11 770;  10 438;  4 731;  5 707;  4 875;  2 111;  2 764;;1500810;;;;x
Portimão;  31 939;  15 404;  16 535;  13 843;  6 213;  7 630;  6 473;  2 763;  3 710;;1500811;;;;x
São Brás de Alportel;  5 841;  2 811;  3 030;  2 969;  1 352;  1 617;  1 530;   649;   881;;1500812;;;;x
Silves;  20 056;  9 972;  10 084;  9 614;  4 455;  5 159;  4 695;  1 969;  2 726;;1500813;;;;x
Tavira;  13 600;  6 791;  6 809;  8 273;  3 972;  4 301;  3 898;  1 779;  2 119;;1500814;;;;x
Vila do Bispo;  3 008;  1 502;  1 506;  1 574;   733;   841;   781;   338;   443;;1500815;;;;x
Vila Real de Santo António;  9 446;  4 548;  4 898;  5 040;  2 363;  2 677;  2 265;   981;  1 284;;1500816;;;;x
 R. A. Açores;  135 998;  67 300;  68 698;  40 866;  17 591;  23 275;  17 293;  6 410;  10 883;;200;x;x;x;
  Santa Maria;  3 068;  1 521;  1 547;   972;   391;   581;   395;   132;   263;;-;;;;
Vila do Porto;  3 068;  1 521;  1 547;   972;   391;   581;   395;   132;   263;;2004101;;;;x
  São Miguel;  77 829;  38 375;  39 454;  19 814;  8 525;  11 289;  8 123;  2 939;  5 184;;-;;;;
Lagoa (R.A.A.);  8 408;  4 190;  4 218;  1 928;   833;  1 095;   785;   297;   488;;2004201;;;;x
Nordeste;  2 417;  1 211;  1 206;   911;   403;   508;   423;   154;   269;;2004202;;;;x
Ponta Delgada;  39 706;  19 316;  20 390;  10 706;  4 509;  6 197;  4 443;  1 591;  2 852;;2004203;;;;x
Povoação;  3 329;  1 665;  1 664;  1 043;   478;   565;   442;   177;   265;;2004204;;;;x
Ribeira Grande;  18 013;  9 010;  9 003;  3 601;  1 552;  2 049;  1 390;   466;   924;;2004205;;;;x
Vila Franca do Campo;  5 956;  2 983;  2 973;  1 625;   750;   875;   640;   254;   386;;2004206;;;;x
  Terceira;  30 129;  14 931;  15 198;  10 453;  4 491;  5 962;  4 392;  1 649;  2 743;;-;;;;
Angra do Heroísmo;  18 972;  9 421;  9 551;  6 697;  2 863;  3 834;  2 916;  1 087;  1 829;;2004301;;;;x
Vila da Praia da Vitória;  11 157;  5 510;  5 647;  3 756;  1 628;  2 128;  1 476;   562;   914;;2004302;;;;x
  Graciosa;  2 190;  1 085;  1 105;   882;   392;   490;   423;   163;   260;;-;;;;
Santa Cruz da Graciosa;  2 190;  1 085;  1 105;   882;   392;   490;   423;   163;   260;;2004401;;;;x
  São Jorge;  4 641;  2 355;  2 286;  1 888;   810;  1 078;   902;   364;   538;;-;;;;
Calheta (R.A.A.);  1 842;   928;   914;   849;   357;   492;   437;   175;   262;;2004501;;;;x
Velas;  2 799;  1 427;  1 372;  1 039;   453;   586;   465;   189;   276;;2004502;;;;x
  Pico;  7 861;  3 937;  3 924;  3 091;  1 319;  1 772;  1 423;   508;   915;;-;;;;
Lajes do Pico;  2 325;  1 157;  1 168;  1 084;   471;   613;   521;   201;   320;;2004601;;;;x
Madalena;  3 613;  1 821;  1 792;  1 284;   546;   738;   588;   206;   382;;2004602;;;;x
São Roque do Pico;  1 923;   959;   964;   723;   302;   421;   314;   101;   213;;2004603;;;;x
  Faial;  8 024;  3 923;  4 101;  2 982;  1 300;  1 682;  1 295;   504;   791;;-;;;;
Horta;  8 024;  3 923;  4 101;  2 982;  1 300;  1 682;  1 295;   504;   791;;2004701;;;;x
  Flores;  1 999;  1 039;   960;   705;   324;   381;   307;   135;   172;;-;;;;
Lajes das Flores;   805;   423;   382;   313;   146;   167;   136;   66;   70;;2004801;;;;x
Santa Cruz das Flores;  1 194;   616;   578;   392;   178;   214;   171;   69;   102;;2004802;;;;x
  Corvo;   257;   134;   123;   79;   39;   40;   33;   16;   17;;-;;;;
Corvo;   257;   134;   123;   79;   39;   40;   33;   16;   17;;2004901;;;;x
 R. A. Madeira;  140 860;  67 980;  72 880;  52 152;  20 444;  31 708;  23 311;  7 889;  15 422;;300;x;x;x;
Calheta (R.A.M.);  5 740;  2 796;  2 944;  2 822;  1 032;  1 790;  1 416;   454;   962;;3003101;;;;x
Câmara de Lobos;  18 205;  8 888;  9 317;  5 091;  1 956;  3 135;  2 093;   663;  1 430;;3003102;;;;x
Funchal;  58 755;  27 954;  30 801;  23 896;  9 435;  14 461;  10 714;  3 795;  6 919;;3003103;;;;x
Machico;  10 920;  5 487;  5 433;  4 200;  1 683;  2 517;  1 779;   587;  1 192;;3003104;;;;x
Ponta do Sol;  4 591;  2 185;  2 406;  1 860;   724;  1 136;   917;   297;   620;;3003105;;;;x
Porto Moniz;  1 279;   610;   669;   738;   230;   508;   382;   97;   285;;3003106;;;;x
Ribeira Brava;  6 948;  3 292;  3 656;  2 723;   983;  1 740;  1 280;   382;   898;;3003107;;;;x
Santa Cruz;  25 473;  12 332;  13 141;  6 586;  2 761;  3 825;  2 761;   991;  1 770;;3003108;;;;x
Santana;  3 285;  1 622;  1 663;  1 879;   685;  1 194;   944;   276;   668;;3003109;;;;x
São Vicente;  2 527;  1 251;  1 276;  1 357;   506;   851;   637;   202;   435;;3003110;;;;x
Porto Santo;  3 137;  1 563;  1 574;  1 000;   449;   551;   388;   145;   243;;3003201;;;;x
;25 - 64 years;;;65 years and over;;;;;;;;;;;
;MF;M;F;Total;;;75 years and over;;;;;;;;
;;;;MF;M;F;MF;M;F;;;;;;
© INE, I.P., Portugal, 2023. Informação disponível até 16 de outubro de 2023. Information available till 16th October, 2023.;;;;;;;;;;;;;;;
Fonte: INE, I.P., Estimativas Anuais da População Residente.;;;;;;;;;;;;;;;
Source: Statistics Portugal, Annual Estimates of Resident Population.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Para mais informação consulte / For more information see:;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008272;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
