;;;;;;;;;;;;;;;
II.1.3 - Movimento da população e população estrangeira por município, 2022 (continua);;;;;;;;;;;;;;;
II.1.3 - Population changes and foreign population by municipality, 2022 (to be continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;Nados-vivos;;;;;Óbitos;;;;;;;;;
;Total;;;Fora do casamento;;Total;;;"Com 
menos
de 1 ano";;;Desagregação Territorial;;;
;HM;H;M;Total;Com coabitação dos pais;HM;H;M;;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Alandroal;   22;   12;   10;   16;   13;   106;   51;   55;0;;1870701;;;;x
Arraiolos;   38;   20;   18;   28;   17;   134;   69;   65;0;;1870702;;;;x
Borba;   45;   28;   17;   30;   25;   113;   60;   53;0;;1870703;;;;x
Estremoz;   89;   47;   42;   58;   49;   230;   113;   117;0;;1870704;;;;x
Évora;   422;   198;   224;   275;   204;   737;   354;   383;   1;;1870705;;;;x
Montemor-o-Novo;   105;   52;   53;   79;   65;   291;   145;   146;0;;1870706;;;;x
Mora;   17;   8;   9;   15;   14;   92;   41;   51;0;;1870707;;;;x
Mourão;   24;   12;   12;   21;   18;   46;   21;   25;0;;1870708;;;;x
Portel;   46;   24;   22;   37;   33;   95;   53;   42;0;;1870709;;;;x
Redondo;   50;   23;   27;   41;   30;   112;   58;   54;0;;1870710;;;;x
Reguengos de Monsaraz;   72;   35;   37;   54;   51;   178;   69;   109;0;;1870711;;;;x
Vendas Novas;   96;   52;   44;   59;   43;   163;   78;   85;0;;1870712;;;;x
Viana do Alentejo;   36;   18;   18;   24;   21;   88;   45;   43;0;;1870713;;;;x
Vila Viçosa;   39;   17;   22;   27;   22;   96;   54;   42;0;;1870714;;;;x
  Algarve;  4 064;  2 038;  2 026;  2 770;  1 897;  5 836;  3 179;  2 657;   8;;150;;x;x;
Albufeira;   434;   205;   229;   263;   181;   418;   231;   187;   1;;1500801;;;;x
Alcoutim;   9;   7;   2;   6;   5;   87;   56;   31;0;;1500802;;;;x
Aljezur;   61;   31;   30;   43;   33;   102;   54;   48;0;;1500803;;;;x
Castro Marim;   48;   26;   22;   42;   32;   102;   49;   53;0;;1500804;;;;x
Faro;   592;   291;   301;   400;   280;   751;   394;   357;   1;;1500805;;;;x
Lagoa;   191;   98;   93;   144;   78;   301;   165;   136;   1;;1500806;;;;x
Lagos;   283;   151;   132;   199;   135;   417;   216;   201;0;;1500807;;;;x
Loulé;   624;   311;   313;   416;   284;   909;   510;   399;0;;1500808;;;;x
Monchique;   34;   22;   12;   28;   22;   112;   56;   56;0;;1500809;;;;x
Olhão;   380;   207;   173;   285;   184;   579;   324;   255;   3;;1500810;;;;x
Portimão;   634;   301;   333;   415;   291;   673;   388;   285;0;;1500811;;;;x
São Brás de Alportel;   75;   33;   42;   52;   33;   137;   66;   71;0;;1500812;;;;x
Silves;   317;   160;   157;   222;   159;   523;   297;   226;   2;;1500813;;;;x
Tavira;   188;   95;   93;   121;   92;   383;   190;   193;0;;1500814;;;;x
Vila do Bispo;   52;   26;   26;   40;   31;   88;   53;   35;0;;1500815;;;;x
Vila Real de Santo António;   142;   74;   68;   94;   57;   254;   130;   124;0;;1500816;;;;x
 R. A. Açores;  2 068;  1 068;  1 000;  1 193;   930;  2 710;  1 404;  1 306;   6;;200;x;x;x;
  Santa Maria;   38;   24;   14;   33;   28;   69;   37;   32;   0;;-;;;;
Vila do Porto;   38;   24;   14;   33;   28;   69;   37;   32;0;;2004101;;;;x
  São Miguel;  1 258;   644;   614;   726;   559;  1 339;   695;   644;   2;;-;;;;
Lagoa (R.A.A.);   137;   75;   62;   85;   62;   129;   69;   60;   1;;2004201;;;;x
Nordeste;   33;   15;   18;   20;   15;   76;   41;   35;0;;2004202;;;;x
Ponta Delgada;   621;   316;   305;   374;   289;   675;   331;   344;   1;;2004203;;;;x
Povoação;   36;   18;   18;   16;   13;   89;   49;   40;0;;2004204;;;;x
Ribeira Grande;   348;   183;   165;   187;   146;   265;   149;   116;0;;2004205;;;;x
Vila Franca do Campo;   83;   37;   46;   44;   34;   105;   56;   49;0;;2004206;;;;x
  Terceira;   418;   216;   202;   215;   154;   673;   354;   319;   0;;-;;;;
Angra do Heroísmo;   264;   136;   128;   139;   96;   441;   227;   214;0;;2004301;;;;x
Vila da Praia da Vitória;   154;   80;   74;   76;   58;   232;   127;   105;0;;2004302;;;;x
  Graciosa;   41;   24;   17;   31;   26;   67;   34;   33;   1;;-;;;;
Santa Cruz da Graciosa;   41;   24;   17;   31;   26;   67;   34;   33;   1;;2004401;;;;x
  São Jorge;   65;   39;   26;   41;   37;   133;   68;   65;   0;;-;;;;
Calheta (R.A.A.);   28;   18;   10;   19;   18;   61;   36;   25;0;;2004501;;;;x
Velas;   37;   21;   16;   22;   19;   72;   32;   40;0;;2004502;;;;x
  Pico;   112;   45;   67;   64;   53;   209;   105;   104;   0;;-;;;;
Lajes do Pico;   30;   10;   20;   17;   13;   71;   36;   35;0;;2004601;;;;x
Madalena;   54;   23;   31;   28;   24;   101;   49;   52;0;;2004602;;;;x
São Roque do Pico;   28;   12;   16;   19;   16;   37;   20;   17;0;;2004603;;;;x
  Faial;   112;   62;   50;   66;   57;   171;   92;   79;   3;;-;;;;
Horta;   112;   62;   50;   66;   57;   171;   92;   79;   3;;2004701;;;;x
  Flores;   20;   12;   8;   13;   12;   47;   19;   28;   0;;-;;;;
Lajes das Flores;   10;   6;   4;   5;   5;   19;   8;   11;0;;2004801;;;;x
Santa Cruz das Flores;   10;   6;   4;   8;   7;   28;   11;   17;0;;2004802;;;;x
  Corvo;   4;   2;   2;   4;   4;   2;0;   2;0;;-;;;;
Corvo;   4;   2;   2;   4;   4;   2;0;   2;0;;2004901;;;;x
 R. A. Madeira;  1 758;   901;   857;  1 095;   735;  3 103;  1 453;  1 650;   3;;300;x;x;x;
Calheta (R.A.M.);   77;   39;   38;   39;   25;   203;   87;   116;0;;3003101;;;;x
Câmara de Lobos;   270;   136;   134;   193;   116;   315;   167;   148;   1;;3003102;;;;x
Funchal;   724;   377;   347;   448;   284;  1 345;   636;   709;0;;3003103;;;;x
Machico;   106;   46;   60;   63;   48;   246;   118;   128;0;;3003104;;;;x
Ponta do Sol;   51;   35;   16;   30;   25;   116;   49;   67;   1;;3003105;;;;x
Porto Moniz;   13;   12;   1;   6;   3;   46;   21;   25;0;;3003106;;;;x
Ribeira Brava;   71;   40;   31;   36;   25;   178;   77;   101;   1;;3003107;;;;x
Santa Cruz;   343;   163;   180;   223;   164;   396;   176;   220;0;;3003108;;;;x
Santana;   41;   22;   19;   19;   15;   120;   50;   70;0;;3003109;;;;x
São Vicente;   23;   11;   12;   10;   8;   76;   35;   41;0;;3003110;;;;x
Porto Santo;   39;   20;   19;   28;   22;   62;   37;   25;0;;3003201;;;;x
;Live births;;;;;Deaths;;;;;;;;;
;Total;;;Outside marriage;;Total;;;Aged under 1 year;;;;;;
;MF;M;F;Total;Cohabitant parents;MF;M;F;;;;;;;
© INE, I.P., Portugal, 2023. Informação disponível até 16 de outubro de 2023. Information available till 16th October, 2023.;;;;;;;;;;;;;;;
Fonte: INE, I.P., Indicadores Demográficos.;;;;;;;;;;;;;;;
Source: Statistics Portugal, Demographic Indicators.;;;;;;;;;;;;;;;
"Nota: O valor de Portugal inclui as ocorrências de nados-vivos e óbitos relativos à população residente no país e a residência ignorada (ocorrências relativas à população que não é referenciável a um nível territorial específico, por falta de informação).
O valor total de nados-vivos e óbitos pode não corresponder à soma das parcelas por sexo, devido à existência de registos com sexo ignorado.
";;;;;;;;;;;;;;;
"Note: The value for Portugal includes live births and deaths of resident population in the country and also those whose residence is unknown (population that is not allocated to a specific territorial level, for lack of information).
The total number of live births and deaths may not correspond to the sum of the partial figures by sex, due to the existence of records with unknown sex.
";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Para mais informação consulte / For more information see:;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008079;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008180;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
