;;;;;;;;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2022 (continua);;;;;;;;;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2022 (to be continued);;;;;;;;;;;;;;;;;;;;;;;;;;
;Densidade populacional ;Taxa de crescimento efetivo;Taxa de crescimento natural;Taxa de crescimento migratório;Taxa bruta de natalidade;Taxa bruta de mortalidade;Taxa bruta de nupcialidade;Taxa bruta de divórcio;Taxa de fecundidade geral;Taxa de fecundidade na adolescência;Índice sintético de fecundidade;Mulheres em idade fértil na população residente feminina;Nados-vivos fora do casamento;Proporção de casamentos católicos; ;;Desagregação Territorial;;;;;;Desagregação Territorial;;;
;N.º/km2;%;;;‰;;;;;;N.º;%;;;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Vizela;  982,1;  0,72;0,15;  0,57;  9,0;  7,5;  1,6;  1,6;  39,4;x;x;  44,1;  58,5;  5,3;;1190314;;;;x;;1190314;;;;x
   A. M. Porto;  869,1;  1,03;-0,28;  1,31;  7,5;  10,2;  3,8;  1,8;  34,5;  3,8;  1,27;  41,0;  57,1;  27,9;;11A;;;x;;;11A;;;x;
Arouca;  63,5;-  0,65;-0,46;-  0,20;  6,7;  11,3;  2,9;  1,2;  33,3;x;x;  38,8;  50,4;  56,7;;11A0104;;;;x;;11A0104;;;;x
Espinho; 1 508,9;  1,07;-0,64;  1,71;  7,1;  13,5;  7,6;  1,6;  38,2;x;x;  35,1;  58,4;  18,1;;11A0107;;;;x;;11A0107;;;;x
Gondomar; 1 265,2;  0,74;-0,30;  1,04;  7,2;  10,2;  2,0;  1,7;  33,2;x;x;  40,9;  64,6;  28,8;;11A1304;;;;x;;11A1304;;;;x
Maia; 1 688,3;  1,76;-0,09;  1,85;  7,6;  8,5;  3,5;  2,1;  33,6;x;x;  42,9;  56,0;  17,1;;11A1306;;;;x;;11A1306;;;;x
Matosinhos; 2 829,5;  1,12;-0,31;  1,43;  7,2;  10,2;  2,6;  1,8;  33,8;x;x;  39,9;  58,7;  25,3;;11A1308;;;;x;;11A1308;;;;x
Oliveira de Azeméis;  414,8;  0,30;-0,34;  0,65;  7,0;  10,4;  2,6;  1,5;  34,0;x;x;  39,5;  52,3;  42,7;;11A0113;;;;x;;11A0113;;;;x
Paredes;  544,4;  0,43;-0,04;  0,48;  7,7;  8,2;  3,0;  2,0;  32,8;x;x;  45,2;  53,7;  46,1;;11A1310;;;;x;;11A1310;;;;x
Porto; 5 808,6;  1,93;-0,49;  2,41;  8,1;  12,9;  5,8;  1,8;  38,0;x;x;  39,5;  57,6;  21,0;;11A1312;;;;x;;11A1312;;;;x
Póvoa de Varzim;  803,3;  1,41;-0,21;  1,62;  7,9;  10,1;  5,0;  2,0;  35,7;x;x;  42,1;  49,3;  15,8;;11A1313;;;;x;;11A1313;;;;x
Santa Maria da Feira;  640,8;  0,71;-0,15;  0,86;  7,7;  9,2;  3,2;  1,9;  36,2;x;x;  40,9;  53,2;  45,8;;11A0109;;;;x;;11A0109;;;;x
Santo Tirso;  495,2;-  0,05;-0,48;  0,44;  6,2;  11,1;  3,6;  1,7;  30,8;x;x;  38,5;  58,1;  36,0;;11A1314;;;;x;;11A1314;;;;x
São João da Madeira; 2 932,0;  2,13;-0,40;  2,53;  6,3;  10,3;  6,7;  2,1;  29,4;x;x;  40,8;  58,9;  22,7;;11A0116;;;;x;;11A0116;;;;x
Trofa;  548,1;  1,18;-0,17;  1,35;  6,8;  8,5;  3,1;  1,9;  30,4;x;x;  42,7;  51,3;  53,3;;11A1318;;;;x;;11A1318;;;;x
Vale de Cambra;  144,0;-  0,35;-0,77;  0,41;  5,9;  13,6;  4,4;  1,9;  31,8;x;x;  35,9;  53,2;  36,6;;11A0119;;;;x;;11A0119;;;;x
Valongo; 1 307,7;  1,62;-0,15;  1,77;  7,3;  8,8;  5,5;  1,9;  31,6;x;x;  43,9;  60,6;  28,2;;11A1315;;;;x;;11A1315;;;;x
Vila do Conde;  559,3;  1,53;-0,10;  1,63;  7,8;  8,8;  5,3;  2,4;  35,6;x;x;  42,2;  52,7;  25,9;;11A1316;;;;x;;11A1316;;;;x
Vila Nova de Gaia; 1 825,7;  0,54;-0,27;  0,81;  7,6;  10,3;  3,1;  1,7;  35,2;x;x;  41,1;  59,1;  28,1;;11A1317;;;;x;;11A1317;;;;x
   Alto Tâmega;  28,6;-  0,40;-1,25;  0,84;  4,8;  17,3;  3,2;  1,8;  30,0;  5,3;  1,17;  30,8;  68,9;  33,6;;11B;;;x;;;11B;;;x;
Boticas;  15,2;-  0,71;-1,14;  0,43;  6,5;  17,9;  2,0;  0,8;  40,7;x;x;  30,4;  71,9;  40,0;;11B1702;;;;x;;11B1702;;;;x
Chaves;  63,1;-  0,32;-1,01;  0,69;  5,2;  15,3;  4,4;  2,1;  30,3;x;x;  32,6;  67,5;  26,1;;11B1703;;;;x;;11B1703;;;;x
Montalegre;  11,3;-  0,76;-1,64;  0,87;  4,3;  20,6;  0,7;  2,0;  29,9;x;x;  27,6;  66,7;  83,3;;11B1706;;;;x;;11B1706;;;;x
Ribeira de Pena;  26,8;-  0,60;-1,42;  0,82;  5,8;  20,0;  3,3;  1,0;  34,7;x;x;  33,3;  64,7;  26,3;;11B1709;;;;x;;11B1709;;;;x
Valpaços;  26,5;-  0,24;-1,40;  1,16;  4,2;  18,2;  2,7;  1,3;  29,1;x;x;  27,2;  72,1;  40,0;;11B1712;;;;x;;11B1712;;;;x
Vila Pouca de Aguiar;  26,9;-  0,37;-1,46;  1,10;  3,8;  18,4;  2,4;  1,7;  23,6;x;x;  31,0;  73,3;  60,7;;11B1713;;;;x;;11B1713;;;;x
   Tâmega e Sousa;  222,8;-  0,13;-0,25;  0,11;  7,2;  9,7;  3,8;  1,7;  32,7;  2,9;  1,24;  42,6;  46,9;  47,9;;11C;;;x;;;11C;;;x;
Amarante;  172,7;-  0,05;-0,38;  0,33;  6,9;  10,7;  4,0;  2,0;  32,7;x;x;  39,9;  50,1;  49,8;;11C1301;;;;x;;11C1301;;;;x
Baião;  98,9;-  1,03;-0,86;-  0,17;  4,3;  12,9;  3,1;  1,1;  20,8;x;x;  39,1;  50,0;  51,9;;11C1302;;;;x;;11C1302;;;;x
Castelo de Paiva;  133,8;-  0,39;-0,36;-  0,03;  6,3;  9,9;  2,2;  0,8;  29,6;x;x;  41,0;  50,5;  41,2;;11C0106;;;;x;;11C0106;;;;x
Celorico de Basto;  97,0;-  0,35;-0,72;  0,36;  5,8;  13,0;  2,5;  1,5;  28,8;x;x;  38,6;  44,1;  47,7;;11C0305;;;;x;;11C0305;;;;x
Cinfães;  73,4;-  0,81;-0,75;-  0,06;  5,4;  12,9;  2,8;  1,2;  27,9;x;x;  37,4;  57,9;  50,0;;11C1804;;;;x;;11C1804;;;;x
Felgueiras;  478,6;-  0,47;-0,05;-  0,42;  7,6;  8,1;  3,1;  1,5;  33,9;x;x;  43,2;  44,4;  52,9;;11C1303;;;;x;;11C1303;;;;x
Lousada;  498,4;  0,55;0,02;  0,53;  8,5;  8,3;  3,6;  1,6;  35,4;x;x;  46,1;  47,4;  62,4;;11C1305;;;;x;;11C1305;;;;x
Marco de Canaveses;  244,6;-  0,32;-0,32;  0,00;  6,8;  10,0;  4,8;  2,5;  29,9;x;x;  43,5;  42,6;  42,1;;11C1307;;;;x;;11C1307;;;;x
Paços de Ferreira;  786,8;  0,20;-0,02;  0,23;  8,0;  8,3;  4,1;  2,0;  35,2;x;x;  44,9;  48,6;  41,3;;11C1309;;;;x;;11C1309;;;;x
Penafiel;  329,5;  0,11;-0,12;  0,22;  7,9;  9,0;  4,5;  1,6;  34,4;x;x;  43,7;  43,7;  44,8;;11C1311;;;;x;;11C1311;;;;x
Resende;  79,9;-  1,11;-0,72;-  0,39;  6,9;  14,0;  3,7;  1,2;  35,6;x;x;  37,4;  60,3;  50,0;;11C1813;;;;x;;11C1813;;;;x
   Douro;  45,5;-  0,22;-0,90;  0,67;  5,8;  14,8;  3,1;  1,6;  31,5;  5,1;  1,23;  35,2;  58,7;  42,9;;11D;;;x;;;11D;;;x;
Alijó;  34,7;-  0,98;-1,18;  0,20;  5,4;  17,2;  2,3;  1,0;  33,4;x;x;  31,7;  69,6;  33,3;;11D1701;;;;x;;11D1701;;;;x
Armamar;  48,6;-  0,60;-1,49;  0,89;  4,6;  19,4;  3,2;  1,6;  25,8;x;x;  33,4;  42,3;  33,3;;11D1801;;;;x;;11D1801;;;;x
Carrazeda de Ansiães;  19,3;-  0,59;-1,29;  0,70;  4,6;  17,6;  3,5;  0,7;  30,7;x;x;  29,0;  68,0;  15,8;;11D0403;;;;x;;11D0403;;;;x
Freixo de Espada à Cinta;  13,0;-  1,69;-2,22;  0,53;  6,3;  28,5;  2,2;  0,9;  38,5;x;x;  31,3;  85,0;  28,6;;11D0404;;;;x;;11D0404;;;;x
Lamego;  145,9;-  0,41;-0,86;  0,45;  5,3;  13,9;  3,6;  1,9;  28,2;x;x;  35,6;  50,0;  63,1;;11D1805;;;;x;;11D1805;;;;x
Mesão Frio;  131,9;-  0,65;-1,11;  0,45;  4,8;  15,9;  6,8;  2,3;  24,3;x;x;  37,5;  58,8;  13,0;;11D1704;;;;x;;11D1704;;;;x
Moimenta da Beira;  43,6;  0,93;-0,66;  1,59;  7,0;  13,6;  2,8;  2,1;  38,5;x;x;  34,8;  58,2;  51,9;;11D1807;;;;x;;11D1807;;;;x
