;;;;;;;;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2022 (continua);;;;;;;;;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2022 (to be continued);;;;;;;;;;;;;;;;;;;;;;;;;;
;Densidade populacional ;Taxa de crescimento efetivo;Taxa de crescimento natural;Taxa de crescimento migratório;Taxa bruta de natalidade;Taxa bruta de mortalidade;Taxa bruta de nupcialidade;Taxa bruta de divórcio;Taxa de fecundidade geral;Taxa de fecundidade na adolescência;Índice sintético de fecundidade;Mulheres em idade fértil na população residente feminina;Nados-vivos fora do casamento;Proporção de casamentos católicos; ;;Desagregação Territorial;;;;;;Desagregação Territorial;;;
;N.º/km2;%;;;‰;;;;;;N.º;%;;;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Albergaria-a-Velha;  158,9;  0,16;-0,48;  0,64;  6,8;  11,6;  3,0;  2,1;  32,8;x;x;  40,6;  62,8;  29,3;;16D0102;;;;x;;16D0102;;;;x
Anadia;  128,4;-  0,19;-0,85;  0,65;  6,5;  15,0;  2,6;  1,1;  35,7;x;x;  35,0;  62,6;  38,6;;16D0103;;;;x;;16D0103;;;;x
Aveiro;  422,7;  1,11;-0,14;  1,24;  7,9;  9,2;  3,9;  1,9;  35,2;x;x;  42,6;  57,6;  20,0;;16D0105;;;;x;;16D0105;;;;x
Estarreja;  246,2;  0,38;-0,52;  0,89;  7,6;  12,8;  3,3;  1,6;  38,7;x;x;  38,2;  56,9;  39,5;;16D0108;;;;x;;16D0108;;;;x
Ílhavo;  555,4;  1,43;-0,25;  1,68;  7,9;  10,4;  2,6;  2,0;  36,9;x;x;  41,0;  56,8;  24,5;;16D0110;;;;x;;16D0110;;;;x
Murtosa;  146,5;  0,35;-0,72;  1,07;  6,3;  13,5;  6,5;  2,2;  30,6;x;x;  39,8;  59,7;  27,9;;16D0112;;;;x;;16D0112;;;;x
Oliveira do Bairro;  276,5;  1,56;-0,41;  1,97;  7,3;  11,4;  4,1;  2,2;  33,1;x;x;  42,3;  62,3;  36,7;;16D0114;;;;x;;16D0114;;;;x
Ovar;  377,4;  0,29;-0,24;  0,52;  7,5;  9,9;  2,6;  2,3;  35,3;x;x;  40,8;  64,0;  19,9;;16D0115;;;;x;;16D0115;;;;x
Sever do Vouga;  84,0;-  0,98;-0,85;-  0,13;  6,5;  15,0;  1,6;  1,6;  36,1;x;x;  34,6;  54,9;  33,3;;16D0117;;;;x;;16D0117;;;;x
Vagos;  143,6;  1,21;-0,33;  1,54;  8,3;  11,6;  5,9;  1,7;  39,7;x;x;  40,2;  54,4;  39,0;;16D0118;;;;x;;16D0118;;;;x
   Região de Coimbra;  101,5;-  0,03;-0,70;  0,67;  6,7;  13,7;  3,2;  1,7;  34,6;  4,2;  1,33;  36,8;  59,0;  32,8;;16E;;;x;;;16E;;;x;
Arganil;  33,4;-  0,34;-1,25;  0,91;  6,0;  18,5;  4,2;  1,3;  36,1;x;x;  31,7;  67,2;  23,4;;16E0601;;;;x;;16E0601;;;;x
Cantanhede;  87,9;-  0,06;-0,79;  0,73;  7,3;  15,2;  4,4;  1,6;  39,1;x;x;  35,2;  56,0;  27,2;;16E0602;;;;x;;16E0602;;;;x
Coimbra;  445,4;  0,26;-0,42;  0,67;  7,3;  11,5;  3,3;  1,8;  35,3;x;x;  38,8;  55,4;  35,9;;16E0603;;;;x;;16E0603;;;;x
Condeixa-a-Nova;  123,8;  1,00;-0,36;  1,36;  7,4;  11,1;  2,6;  2,0;  34,7;x;x;  40,4;  54,3;  42,2;;16E0604;;;;x;;16E0604;;;;x
Figueira da Foz;  156,6;-  0,09;-0,77;  0,67;  6,5;  14,1;  3,7;  1,9;  34,3;x;x;  35,7;  65,9;  16,3;;16E0605;;;;x;;16E0605;;;;x
Góis;  14,3;-  0,50;-1,75;  1,25;  4,0;  21,5;  2,7;  0,3;  25,4;x;x;  29,7;  73,3;  20,0;;16E0606;;;;x;;16E0606;;;;x
Lousã;  124,2;  0,15;-0,43;  0,58;  6,3;  10,7;  0,9;  2,6;  29,5;x;x;  41,5;  63,3;  26,7;;16E0607;;;;x;;16E0607;;;;x
Mealhada;  176,8;  0,12;-0,62;  0,75;  6,2;  12,4;  2,9;  1,8;  31,3;x;x;  37,8;  58,7;  32,1;;16E0111;;;;x;;16E0111;;;;x
Mira;  98,8;  0,07;-0,70;  0,78;  7,3;  14,4;  3,3;  1,6;  40,7;x;x;  34,4;  57,8;  46,2;;16E0608;;;;x;;16E0608;;;;x
Miranda do Corvo;  95,1;-  0,41;-0,98;  0,57;  6,1;  15,9;  3,0;  1,5;  32,9;x;x;  35,8;  71,6;  50,0;;16E0609;;;;x;;16E0609;;;;x
Montemor-o-Velho;  107,9;-  0,09;-0,68;  0,58;  7,0;  13,8;  4,1;  1,5;  35,9;x;x;  37,8;  53,4;  44,4;;16E0610;;;;x;;16E0610;;;;x
Mortágua;  35,5;-  0,99;-1,04;  0,04;  6,4;  16,7;  3,0;  1,2;  39,6;x;x;  30,8;  66,7;  23,1;;16E1808;;;;x;;16E1808;;;;x
Oliveira do Hospital;  82,3;-  0,88;-0,94;  0,06;  6,8;  16,2;  1,9;  2,1;  36,7;x;x;  35,4;  66,7;  47,2;;16E0611;;;;x;;16E0611;;;;x
Pampilhosa da Serra;  10,2;-  0,59;-2,07;  1,48;  4,2;  24,9;  2,5;  0,7;  32,4;x;x;  24,9;  64,7;  30,0;;16E0612;;;;x;;16E0612;;;;x
Penacova;  59,3;-  1,24;-1,20;-  0,04;  4,5;  16,5;  3,0;  1,5;  25,5;x;x;  33,2;  62,1;  48,7;;16E0613;;;;x;;16E0613;;;;x
Penela;  41,0;  0,42;-0,89;  1,31;  7,4;  16,3;  8,2;  1,3;  42,6;x;x;  33,8;  58,5;  31,8;;16E0614;;;;x;;16E0614;;;;x
Soure;  64,6;-  0,92;-1,26;  0,34;  5,2;  17,8;  2,2;  1,1;  30,0;x;x;  32,9;  56,7;  35,1;;16E0615;;;;x;;16E0615;;;;x
Tábua;  57,0;  0,35;-0,74;  1,09;  5,5;  12,9;  2,0;  1,2;  29,3;x;x;  36,0;  65,1;  27,3;;16E0616;;;;x;;16E0616;;;;x
Vila Nova de Poiares;  83,2;  0,40;-0,74;  1,14;  7,4;  14,8;  4,3;  1,4;  35,8;x;x;  39,2;  50,0;  41,4;;16E0617;;;;x;;16E0617;;;;x
   Região de Leiria;  118,6;  0,16;-0,47;  0,62;  7,4;  12,1;  3,2;  1,8;  36,6;  6,4;  1,40;  39,0;  60,4;  34,8;;16F;;;x;;;16F;;;x;
Alvaiázere;  39,1;-  0,46;-1,54;  1,08;  3,7;  19,1;  4,1;  1,3;  23,7;x;x;  28,8;  73,9;  69,2;;16F1002;;;;x;;16F1002;;;;x
Ansião;  66,4;-  0,22;-0,91;  0,68;  5,8;  14,9;  2,5;  1,5;  32,8;x;x;  34,0;  66,2;  51,7;;16F1003;;;;x;;16F1003;;;;x
Batalha;  154,6;  0,98;-0,35;  1,33;  7,2;  10,7;  5,0;  1,3;  34,1;x;x;  40,9;  59,6;  33,3;;16F1004;;;;x;;16F1004;;;;x
Castanheira de Pêra;  40,1;-  0,56;-1,75;  1,19;  2,2;  19,7;  2,6;  0,7;  14,9;x;x;  28,8;  83,3;  28,6;;16F1007;;;;x;;16F1007;;;;x
Figueiró dos Vinhos;  30,0;-  1,05;-1,91;  0,86;  4,4;  23,5;  1,9;  1,1;  28,2;x;x;  29,9;  43,5;  30,0;;16F1008;;;;x;;16F1008;;;;x
Leiria;  231,1;  0,39;-0,14;  0,53;  8,5;  9,9;  3,3;  2,1;  39,9;x;x;  41,1;  56,6;  34,9;;16F1009;;;;x;;16F1009;;;;x
Marinha Grande;  212,7;  0,47;-0,42;  0,90;  7,5;  11,8;  3,1;  1,7;  35,6;x;x;  40,9;  63,9;  19,4;;16F1010;;;;x;;16F1010;;;;x
Pedrógão Grande;  27,3;  0,40;-1,68;  2,08;  4,3;  21,1;  3,1;  1,1;  26,1;x;x;  32,1;  66,7;  36,4;;16F1013;;;;x;;16F1013;;;;x
Pombal;  81,7;-  0,60;-0,75;  0,15;  6,8;  14,3;  3,1;  1,8;  35,6;x;x;  36,2;  66,3;  37,7;;16F1015;;;;x;;16F1015;;;;x
Porto de Mós;  89,9;  0,06;-0,66;  0,73;  6,3;  12,9;  2,8;  1,6;  31,4;x;x;  38,9;  64,9;  38,5;;16F1016;;;;x;;16F1016;;;;x
   Viseu Dão Lafões;  78,2;-  0,40;-0,80;  0,40;  6,4;  14,5;  3,3;  1,8;  33,0;  5,2;  1,30;  37,0;  56,3;  36,9;;16G;;;x;;;16G;;;x;
Aguiar da Beira;  25,5;-  0,66;-1,93;  1,26;  5,3;  24,5;  5,5;  1,5;  33,4;x;x;  30,1;  60,7;  72,4;;16G0901;;;;x;;16G0901;;;;x
Carregal do Sal;  77,6;-  0,14;-0,50;  0,35;  6,6;  11,6;  2,9;  1,1;  36,3;x;x;  34,3;  63,3;  19,2;;16G1802;;;;x;;16G1802;;;;x
Castro Daire;  35,9;-  0,65;-1,17;  0,53;  4,4;  16,1;  3,2;  2,4;  25,4;x;x;  33,2;  56,7;  39,5;;16G1803;;;;x;;16G1803;;;;x
Mangualde;  83,5;-  0,34;-0,90;  0,56;  6,6;  15,6;  4,7;  2,0;  35,6;x;x;  35,6;  62,8;  44,8;;16G1806;;;;x;;16G1806;;;;x
Nelas;  104,6;-  0,50;-0,91;  0,41;  6,0;  15,1;  3,6;  2,0;  32,2;x;x;  35,4;  58,2;  31,9;;16G1809;;;;x;;16G1809;;;;x
Oliveira de Frades;  66,2;-  0,45;-0,73;  0,28;  7,4;  14,6;  6,2;  1,2;  36,5;x;x;  38,8;  60,6;  41,7;;16G1810;;;;x;;16G1810;;;;x
Penalva do Castelo;  54,0;-  0,99;-1,49;  0,51;  4,4;  19,3;  4,7;  1,5;  25,8;x;x;  32,8;  59,4;  73,5;;16G1811;;;;x;;16G1811;;;;x
Santa Comba Dão;  96,3;-  0,04;-1,09;  1,06;  5,6;  16,5;  4,7;  1,9;  30,8;x;x;  34,5;  73,3;  20,0;;16G1814;;;;x;;16G1814;;;;x
São Pedro do Sul;  43,1;-  1,01;-1,20;  0,19;  4,6;  16,6;  2,8;  1,6;  26,7;x;x;  32,9;  42,9;  21,4;;16G1816;;;;x;;16G1816;;;;x
Sátão;  54,6;-  0,06;-0,81;  0,74;  7,0;  15,1;  2,1;  1,3;  38,2;x;x;  34,8;  49,4;  8,7;;16G1817;;;;x;;16G1817;;;;x
Tondela;  69,0;-  1,05;-1,11;  0,06;  6,4;  17,5;  1,9;  1,4;  36,0;x;x;  33,9;  55,4;  26,5;;16G1821;;;;x;;16G1821;;;;x
Vila Nova de Paiva;  26,7;  0,00;-1,13;  1,13;  4,7;  16,0;  2,6;  1,5;  26,2;x;x;  34,8;  63,6;  25,0;;16G1822;;;;x;;16G1822;;;;x
Viseu;  197,4;-  0,13;-0,43;  0,30;  7,3;  11,7;  3,0;  2,1;  33,8;x;x;  40,9;  55,1;  37,4;;16G1823;;;;x;;16G1823;;;;x
Vouzela;  49,8;-  0,71;-1,11;  0,39;  5,4;  16,4;  3,1;  1,6;  29,1;x;x;  35,0;  46,2;  36,7;;16G1824;;;;x;;16G1824;;;;x
   Beira Baixa;  17,5;-  0,40;-1,16;  0,76;  6,6;  18,2;  3,0;  1,4;  38,8;  11,5;  1,50;  32,7;  64,9;  31,9;;16H;;;x;;;16H;;;x;
Castelo Branco;  36,4;-  0,20;-0,76;  0,56;  7,6;  15,1;  3,5;  1,6;  39,7;x;x;  36,0;  63,1;  26,1;;16H0502;;;;x;;16H0502;;;;x
Idanha-a-Nova;  5,9;-  0,86;-2,09;  1,23;  4,7;  25,6;  3,0;  1,2;  33,9;x;x;  26,7;  69,2;  45,8;;16H0505;;;;x;;16H0505;;;;x
Oleiros;  10,3;-  1,26;-2,08;  0,82;  5,1;  25,9;  2,4;  0,4;  39,5;x;x;  24,8;  60,0;  50,0;;16H0506;;;;x;;16H0506;;;;x
Penamacor;  8,4;-  1,07;-2,03;  0,96;  5,2;  25,6;  0,4;  0,6;  42,4;x;x;  24,8;  80,0;  50,0;;16H0507;;;;x;;16H0507;;;;x
Proença-a-Nova;  17,9;-  0,79;-1,55;  0,76;  4,8;  20,3;  2,5;  1,5;  33,3;x;x;  28,0;  67,6;  50,0;;16H0508;;;;x;;16H0508;;;;x
Vila Velha de Ródão;  10,5;  0,73;-1,68;  2,41;  5,5;  22,4;  0,6;  0,6;  39,5;x;x;  27,4;  73,7;  100,0;;16H0511;;;;x;;16H0511;;;;x
   Médio Tejo;  69,1;  0,00;-0,94;  0,94;  6,3;  15,7;  3,2;  1,6;  34,1;  4,5;  1,32;  35,4;  61,4;  34,4;;16I;;;x;;;16I;;;x;
Abrantes;  47,3;-  1,11;-1,30;  0,19;  5,8;  18,8;  2,5;  1,7;  33,7;x;x;  33,0;  71,9;  21,4;;16I1401;;;;x;;16I1401;;;;x
Alcanena;  98,5;-  0,06;-0,81;  0,76;  6,1;  14,3;  3,0;  1,8;  33,6;x;x;  35,2;  64,9;  42,1;;16I1402;;;;x;;16I1402;;;;x
Constância;  48,2;  1,30;-0,68;  1,98;  6,2;  13,0;  6,2;  1,8;  30,2;x;x;  39,3;  70,8;  16,7;;16I1408;;;;x;;16I1408;;;;x
Entroncamento; 1 550,9;  1,93;-0,39;  2,32;  7,0;  10,9;  1,4;  1,9;  32,2;x;x;  41,2;  55,4;  10,0;;16I1410;;;;x;;16I1410;;;;x
Ferreira do Zêzere;  41,3;-  0,17;-1,26;  1,09;  6,0;  18,6;  3,3;  2,5;  34,2;x;x;  33,5;  48,9;  38,5;;16I1411;;;;x;;16I1411;;;;x
Mação;  15,9;-  1,11;-2,23;  1,12;  3,4;  25,7;  2,0;  0,8;  25,1;x;x;  26,4;  72,7;  61,5;;16I1413;;;;x;;16I1413;;;;x
Ourém;  108,8;  0,17;-0,68;  0,85;  7,0;  13,9;  4,6;  1,6;  35,5;x;x;  37,5;  53,9;  40,3;;16I1421;;;;x;;16I1421;;;;x
Sardoal;  38,6;  0,17;-1,38;  1,55;  4,8;  18,6;  4,8;  1,1;  27,7;x;x;  33,9;  64,7;  47,1;;16I1417;;;;x;;16I1417;;;;x
Sertã;  33,1;-  0,42;-0,93;  0,51;  6,0;  15,3;  3,7;  1,4;  34,6;x;x;  33,5;  57,3;  36,4;;16I0509;;;;x;;16I0509;;;;x
Tomar;  103,5;-  0,56;-1,12;  0,55;  5,9;  17,1;  2,1;  1,4;  33,5;x;x;  33,2;  67,4;  19,2;;16I1418;;;;x;;16I1418;;;;x
Torres Novas;  127,1;-  0,03;-0,84;  0,81;  6,5;  14,9;  2,6;  1,8;  34,5;x;x;  35,9;  60,8;  43,8;;16I1419;;;;x;;16I1419;;;;x
Vila de Rei;  17,7;  0,21;-1,68;  1,89;  7,7;  24,5;  2,4;  0,6;  46,7;x;x;  31,6;  46,2;  62,5;;16I0510;;;;x;;16I0510;;;;x
Vila Nova da Barquinha;  151,2;  2,67;-0,43;  3,10;  7,6;  11,9;  10,1;  1,5;  38,0;x;x;  38,1;  71,4;  35,1;;16I1420;;;;x;;16I1420;;;;x
   Beiras e Serra da Estrela;  33,0;-  1,01;-1,24;  0,22;  5,5;  17,9;  2,6;  1,4;  32,2;  5,9;  1,26;  32,5;  62,5;  40,6;;16J;;;x;;;16J;;;x;
Almeida;  11,0;-  1,62;-2,32;  0,70;  3,5;  26,7;  0,5;  0,3;  27,9;x;x;  23,6;  80,0;  33,3;;16J0902;;;;x;;16J0902;;;;x
Belmonte;  52,0;-  0,48;-0,92;  0,44;  7,8;  17,0;  1,8;  1,3;  45,0;x;x;  33,4;  62,5;  45,5;;16J0501;;;;x;;16J0501;;;;x
Celorico da Beira;  26,4;-  0,60;-0,99;  0,40;  6,0;  15,9;  2,0;  1,2;  36,6;x;x;  31,0;  79,5;  23,1;;16J0903;;;;x;;16J0903;;;;x
Covilhã;  82,8;-  0,80;-0,93;  0,13;  6,3;  15,6;  2,6;  1,6;  34,6;x;x;  34,8;  66,1;  25,6;;16J0503;;;;x;;16J0503;;;;x
Figueira de Castelo Rodrigo;  9,9;-  0,61;-1,36;  0,75;  6,5;  20,1;  2,2;  0,4;  42,3;x;x;  29,7;  63,6;  27,3;;16J0904;;;;x;;16J0904;;;;x
Fornos de Algodres;  33,2;-  1,32;-1,75;  0,43;  4,8;  22,3;  2,7;  0,9;  29,4;x;x;  30,2;  42,9;  41,7;;16J0905;;;;x;;16J0905;;;;x
Fundão;  37,8;-  0,63;-1,16;  0,53;  5,8;  17,4;  3,2;  1,2;  34,2;x;x;  32,8;  61,7;  41,2;;16J0504;;;;x;;16J0504;;;;x
Gouveia;  40,3;-  1,09;-1,59;  0,50;  5,1;  21,0;  2,7;  1,5;  33,7;x;x;  28,7;  67,7;  25,0;;16J0906;;;;x;;16J0906;;;;x
Guarda;  55,9;-  0,88;-0,65;-  0,23;  6,2;  12,7;  2,9;  1,5;  31,4;x;x;  37,8;  60,2;  52,6;;16J0907;;;;x;;16J0907;;;;x
Manteigas;  23,8;-  1,78;-1,71;-  0,07;  4,8;  21,9;  3,4;  1,7;  30,2;x;x;  29,4;  71,4;  50,0;;16J0908;;;;x;;16J0908;;;;x
Mêda;  15,9;-  1,27;-1,51;  0,24;  3,1;  18,1;  3,3;  0,7;  20,4;x;x;  28,3;  50,0;  53,3;;16J0909;;;;x;;16J0909;;;;x
Pinhel;  16,2;-  1,65;-1,86;  0,21;  3,8;  22,4;  2,1;  1,3;  26,2;x;x;  27,7;  40,0;  52,9;;16J0910;;;;x;;16J0910;;;;x
Sabugal;  13,6;-  1,63;-2,46;  0,83;  4,1;  28,7;  1,3;  1,2;  31,5;x;x;  24,9;  76,1;  46,7;;16J0911;;;;x;;16J0911;;;;x
Seia;  49,1;-  1,46;-1,51;  0,05;  4,0;  19,2;  2,5;  1,9;  24,3;x;x;  31,6;  56,3;  45,1;;16J0912;;;;x;;16J0912;;;;x
Trancoso;  22,9;-  1,32;-1,51;  0,19;  4,9;  20,0;  2,6;  1,6;  31,2;x;x;  30,0;  46,3;  59,1;;16J0913;;;;x;;16J0913;;;;x
  A. M. Lisboa;  961,7;  0,55;-0,11;  0,66;  9,8;  10,9;  3,5;  1,8;  43,7;  7,2;  1,62;  42,1;  62,1;  14,9;;170;;x;x;;;170;;x;x;
Alcochete;  153,6;  1,24;-0,12;  1,36;  8,2;  9,3;  7,4;  2,5;  35,0;x;x;  44,8;  60,6;  11,3;;1701502;;;;x;;1701502;;;;x
Almada; 2 546,1;  0,16;-0,29;  0,45;  9,6;  12,5;  2,7;  1,9;  44,7;x;x;  40,3;  63,5;  9,5;;1701503;;;;x;;1701503;;;;x
Amadora; 7 338,6;  0,78;0,04;  0,74;  10,6;  10,3;  1,0;  1,6;  46,8;x;x;  42,1;  67,9;  21,3;;1701115;;;;x;;1701115;;;;x
Barreiro; 2 166,9;  0,19;-0,37;  0,56;  9,2;  12,8;  4,6;  2,4;  42,8;x;x;  40,1;  68,3;  10,9;;1701504;;;;x;;1701504;;;;x
Cascais; 2 196,4;  0,02;-0,26;  0,29;  8,1;  10,7;  3,1;  2,0;  38,1;x;x;  39,6;  57,6;  7,1;;1701105;;;;x;;1701105;;;;x
Lisboa; 5 484,3;  0,65;-0,30;  0,95;  10,0;  13,1;  5,3;  1,5;  45,3;x;x;  41,5;  53,0;  18,8;;1701106;;;;x;;1701106;;;;x
Loures; 1 218,2;  0,50;0,03;  0,47;  10,7;  10,4;  2,9;  1,7;  48,1;x;x;  41,8;  64,7;  21,5;;1701107;;;;x;;1701107;;;;x
Mafra;  303,9;  0,80;0,00;  0,80;  9,0;  8,9;  5,0;  1,8;  38,2;x;x;  45,2;  57,3;  23,9;;1701109;;;;x;;1701109;;;;x
Moita; 1 226,1;  1,08;-0,07;  1,15;  10,7;  11,4;  3,1;  1,7;  48,5;x;x;  41,7;  75,5;  9,9;;1701506;;;;x;;1701506;;;;x
Montijo;  165,5;  1,38;-0,14;  1,52;  9,9;  11,2;  2,2;  1,8;  42,5;x;x;  45,2;  62,5;  11,2;;1701507;;;;x;;1701507;;;;x
Odivelas; 5 665,6;  0,83;0,19;  0,64;  11,6;  9,7;x;  1,6;  50,7;x;x;  43,1;  57,7;x;;1701116;;;;x;;1701116;;;;x
Oeiras; 3 765,1;  0,53;-0,23;  0,76;  8,4;  10,8;  3,8;  1,5;  39,1;x;x;  40,0;  56,6;  8,3;;1701110;;;;x;;1701110;;;;x
Palmela;  153,5;  1,62;-0,27;  1,89;  8,4;  11,1;  3,8;  2,0;  38,1;x;x;  42,7;  66,6;  11,2;;1701508;;;;x;;1701508;;;;x
Seixal; 1 778,9;  1,00;0,00;  1,00;  9,9;  9,9;  2,1;  2,0;  43,9;x;x;  42,4;  66,1;  15,3;;1701510;;;;x;;1701510;;;;x
Sesimbra;  277,3;  1,62;-0,14;  1,76;  9,4;  10,8;  6,0;  2,0;  41,7;x;x;  43,5;  66,1;  6,9;;1701511;;;;x;;1701511;;;;x
Setúbal;  532,0;-  0,47;-0,42;-  0,06;  8,4;  12,5;  7,4;  1,8;  39,0;x;x;  40,6;  68,4;  11,8;;1701512;;;;x;;1701512;;;;x
Sintra; 1 217,8;  0,39;0,18;  0,21;  10,6;  8,8;  3,0;  1,9;  45,1;x;x;  44,1;  67,7;  16,6;;1701111;;;;x;;1701111;;;;x
Vila Franca de Xira;  433,7;  0,23;0,04;  0,18;  9,3;  8,9;  1,9;  1,9;  39,9;x;x;  44,4;  64,7;  14,1;;1701114;;;;x;;1701114;;;;x
  Alentejo;  22,6;  0,16;-0,83;  1,00;  7,5;  15,9;  3,3;  1,6;  39,4;  12,1;  1,55;  37,1;  68,9;  28,2;;18;;x;;;;18;;x;;
   Alentejo Litoral;  18,7;  0,82;-0,60;  1,42;  8,0;  14,0;  2,7;  1,5;  43,6;  3,0;  1,67;  37,6;  66,5;  16,7;;181;;;x;;;181;;;x;
Alcácer do Sal;  7,4;-  0,72;-0,93;  0,21;  7,5;  16,8;  4,6;  2,3;  43,0;x;x;  33,7;  72,3;  22,4;;1811501;;;;x;;1811501;;;;x
Grândola;  16,9;-  0,17;-0,94;  0,77;  7,9;  17,3;  2,5;  1,7;  43,4;x;x;  37,1;  76,6;  12,1;;1811505;;;;x;;1811505;;;;x
Odemira;  18,3;  2,57;-0,46;  3,03;  7,6;  12,2;  1,4;  0,9;  43,4;x;x;  40,3;  49,4;  19,5;;1810211;;;;x;;1810211;;;;x
Santiago do Cacém;  26,5;  0,08;-0,69;  0,77;  8,0;  14,9;  3,3;  1,8;  43,3;x;x;  35,5;  74,4;  16,3;;1811509;;;;x;;1811509;;;;x
Sines;  71,6;  0,63;-0,14;  0,77;  9,3;  10,7;  3,3;  1,4;  44,8;x;x;  40,1;  71,9;  12,5;;1811513;;;;x;;1811513;;;;x
   Baixo Alentejo;  13,5;-  0,37;-1,00;  0,63;  8,1;  18,0;  2,9;  1,4;  44,0;  26,3;  1,72;  35,9;  72,3;  18,1;;184;;;x;;;184;;;x;
Aljustrel;  19,4;-  0,10;-0,81;  0,71;  8,9;  17,0;  1,1;  1,7;  50,6;x;x;  34,5;  78,5;  20,0;;1840201;;;;x;;1840201;;;;x
Almodôvar;  8,6;-  1,26;-1,40;  0,13;  6,8;  20,8;  2,7;  1,5;  39,9;x;x;  34,0;  71,7;  17,6;;1840202;;;;x;;1840202;;;;x
Alvito;  8,5;-  1,67;-2,11;  0,44;  7,0;  28,1;  3,5;  1,3;  34,0;x;x;  38,7;  62,5;  25,0;;1840203;;;;x;;1840203;;;;x
Barrancos;  8,7;-  2,77;-2,03;-  0,74;  7,4;  27,7;  2,7;  1,4;  41,6;x;x;  35,1;  81,8;  0,0;;1840204;;;;x;;1840204;;;;x
Beja;  29,2;-  0,42;-0,78;  0,37;  9,2;  17,0;  3,6;  1,5;  46,2;x;x;  38,9;  75,0;  23,1;;1840205;;;;x;;1840205;;;;x
Castro Verde;  12,2;  0,19;-0,81;  0,99;  7,3;  15,4;  2,3;  1,6;  39,1;x;x;  36,2;  66,7;  13,3;;1840206;;;;x;;1840206;;;;x
Cuba;  25,7;  0,43;-0,86;  1,29;  8,8;  17,4;  2,9;  1,1;  44,6;x;x;  38,9;  74,4;  15,4;;1840207;;;;x;;1840207;;;;x
Ferreira do Alentejo;  12,1;-  0,31;-1,61;  1,30;  5,8;  21,9;  4,1;  1,9;  33,0;x;x;  35,8;  84,4;  6,3;;1840208;;;;x;;1840208;;;;x
Mértola;  4,8;-  1,19;-1,77;  0,58;  3,9;  21,6;  2,7;  1,1;  26,1;x;x;  29,2;  62,5;  14,3;;1840209;;;;x;;1840209;;;;x
Moura;  13,9;-  0,07;-0,55;  0,48;  8,9;  14,4;  3,4;  1,2;  48,5;x;x;  35,5;  63,0;  17,8;;1840210;;;;x;;1840210;;;;x
Ourique;  7,3;-  0,12;-1,29;  1,16;  7,1;  19,9;  2,3;  1,0;  41,1;x;x;  33,4;  79,4;  27,3;;1840212;;;;x;;1840212;;;;x
Serpa;  12,4;-  0,31;-0,80;  0,49;  8,2;  16,2;  1,7;  1,2;  48,6;x;x;  33,5;  67,3;  17,4;;1840213;;;;x;;1840213;;;;x
Vidigueira;  16,5;  0,19;-1,32;  1,51;  8,6;  21,8;  2,9;  1,3;  46,9;x;x;  36,1;  73,3;  7,1;;1840214;;;;x;;1840214;;;;x
   Lezíria do Tejo;  56,9;  0,97;-0,65;  1,62;  7,7;  14,2;  3,6;  1,8;  38,4;  8,0;  1,53;  38,5;  65,9;  31,2;;185;;;x;;;185;;;x;
Almeirim;  101,5;  0,97;-0,55;  1,52;  8,0;  13,5;  2,9;  1,9;  38,9;x;x;  39,3;  66,1;  14,8;;1851403;;;;x;;1851403;;;;x
Alpiarça;  75,4;  1,32;-0,77;  2,09;  7,6;  15,3;  2,4;  2,2;  40,4;x;x;  36,0;  72,2;  18,8;;1851404;;;;x;;1851404;;;;x
Azambuja;  84,7;  1,18;-0,62;  1,80;  7,6;  13,8;  5,0;  2,2;  37,6;x;x;  40,5;  69,6;  23,6;;1851103;;;;x;;1851103;;;;x
Benavente;  60,4;  2,34;-0,05;  2,39;  9,4;  9,9;  3,3;  2,2;  41,4;x;x;  43,6;  58,2;  20,0;;1851405;;;;x;;1851405;;;;x
Cartaxo;  151,4;  0,99;-0,61;  1,60;  7,8;  14,0;  3,6;  1,7;  38,3;x;x;  39,2;  71,1;  11,8;;1851406;;;;x;;1851406;;;;x
Chamusca;  11,4;-  0,12;-1,25;  1,14;  5,5;  18,0;  1,2;  1,3;  31,2;x;x;  34,2;  66,0;  10,0;;1851407;;;;x;;1851407;;;;x
Coruche;  15,5;-  0,59;-1,49;  0,90;  5,6;  20,6;  2,0;  1,5;  33,9;x;x;  31,5;  66,3;  45,5;;1851409;;;;x;;1851409;;;;x
Golegã;  63,8;-  0,45;-1,22;  0,78;  6,9;  19,1;  16,7;  2,0;  35,3;x;x;  36,9;  73,0;  68,5;;1851412;;;;x;;1851412;;;;x
Rio Maior;  79,7;  0,87;-0,53;  1,40;  7,8;  13,1;  2,7;  1,8;  39,1;x;x;  39,0;  60,9;  39,3;;1851414;;;;x;;1851414;;;;x
Salvaterra de Magos;  93,4;  2,19;-0,76;  2,95;  7,1;  14,7;  3,2;  1,5;  36,1;x;x;  37,9;  73,1;  22,2;;1851415;;;;x;;1851415;;;;x
Santarém;  108,7;  0,46;-0,63;  1,09;  7,8;  14,1;  3,9;  1,7;  39,3;x;x;  37,7;  65,2;  37,6;;1851416;;;;x;;1851416;;;;x
