;;;;;;;;;;;;;;;
II.1.2 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2022 (continua);;;;;;;;;;;;;;;
II.1.2 - Resident population by municipality and according to age groups and sex on 31/12/2022 (to be continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;Total;;;0 a 14 anos;;;15 a 24 anos;;;;;Desagregação Territorial;;;
;HM;H;M;HM;H;M;HM;H;M;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
   Alto Tâmega;  83 463;  39 986;  43 477;  7 545;  3 893;  3 652;  6 877;  3 468;  3 409;;11B;;;x;
Boticas;  4 899;  2 334;  2 565;   428;   217;   211;   368;   175;   193;;11B1702;;;;x
Chaves;  37 306;  17 782;  19 524;  3 671;  1 906;  1 765;  3 265;  1 666;  1 599;;11B1703;;;;x
Montalegre;  9 134;  4 446;  4 688;   678;   344;   334;   654;   326;   328;;11B1706;;;;x
Ribeira de Pena;  5 824;  2 890;  2 934;   581;   325;   256;   522;   261;   261;;11B1709;;;;x
Valpaços;  14 550;  6 887;  7 663;  1 190;   610;   580;  1 087;   557;   530;;11B1712;;;;x
Vila Pouca de Aguiar;  11 750;  5 647;  6 103;   997;   491;   506;   981;   483;   498;;11B1713;;;;x
   Tâmega e Sousa;  408 127;  197 799;  210 328;  50 922;  26 161;  24 761;  47 781;  24 546;  23 235;;11C;;;x;
Amarante;  52 035;  24 858;  27 177;  6 050;  3 027;  3 023;  5 748;  2 905;  2 843;;11C1301;;;;x
Baião;  17 257;  8 269;  8 988;  1 840;   995;   845;  1 874;   947;   927;;11C1302;;;;x
Castelo de Paiva;  15 390;  7 489;  7 901;  1 731;   864;   867;  1 846;   933;   913;;11C0106;;;;x
Celorico de Basto;  17 570;  8 476;  9 094;  2 013;  1 018;   995;  1 911;   999;   912;;11C0305;;;;x
Cinfães;  17 557;  8 586;  8 971;  1 959;  1 056;   903;  1 880;   970;   910;;11C1804;;;;x
Felgueiras;  55 394;  26 833;  28 561;  6 903;  3 546;  3 357;  6 367;  3 301;  3 066;;11C1303;;;;x
Lousada;  47 890;  23 222;  24 668;  6 583;  3 378;  3 205;  5 876;  3 029;  2 847;;11C1305;;;;x
Marco de Canaveses;  49 392;  23 838;  25 554;  6 137;  3 122;  3 015;  6 164;  3 181;  2 983;;11C1307;;;;x
Paços de Ferreira;  55 857;  27 641;  28 216;  7 387;  3 855;  3 532;  6 770;  3 451;  3 319;;11C1309;;;;x
Penafiel;  69 925;  33 755;  36 170;  9 242;  4 714;  4 528;  8 304;  4 283;  4 021;;11C1311;;;;x
Resende;  9 860;  4 832;  5 028;  1 077;   586;   491;  1 041;   547;   494;;11C1813;;;;x
   Douro;  183 418;  87 627;  95 791;  18 943;  9 545;  9 398;  17 590;  9 026;  8 564;;11D;;;x;
Alijó;  10 339;  5 057;  5 282;   922;   457;   465;   907;   483;   424;;11D1701;;;;x
Armamar;  5 693;  2 684;  3 009;   535;   257;   278;   558;   287;   271;;11D1801;;;;x
Carrazeda de Ansiães;  5 393;  2 607;  2 786;   475;   224;   251;   413;   206;   207;;11D0403;;;;x
Freixo de Espada à Cinta;  3 171;  1 515;  1 656;   323;   169;   154;   275;   140;   135;;11D0404;;;;x
Lamego;  24 133;  11 497;  12 636;  2 463;  1 242;  1 221;  2 406;  1 245;  1 161;;11D1805;;;;x
Mesão Frio;  3 514;  1 666;  1 848;   327;   167;   160;   383;   202;   181;;11D1704;;;;x
Moimenta da Beira;  9 587;  4 584;  5 003;  1 094;   559;   535;   938;   489;   449;;11D1807;;;;x
Murça;  5 216;  2 519;  2 697;   420;   207;   213;   463;   252;   211;;11D1707;;;;x
Penedono;  2 786;  1 335;  1 451;   226;   121;   105;   284;   145;   139;;11D1812;;;;x
Peso da Régua;  14 401;  6 787;  7 614;  1 511;   755;   756;  1 413;   705;   708;;11D1708;;;;x
Sabrosa;  5 585;  2 686;  2 899;   515;   236;   279;   509;   259;   250;;11D1710;;;;x
Santa Marta de Penaguião;  5 990;  2 877;  3 113;   549;   277;   272;   554;   295;   259;;11D1711;;;;x
São João da Pesqueira;  6 775;  3 341;  3 434;   695;   353;   342;   691;   372;   319;;11D1815;;;;x
Sernancelhe;  5 735;  2 790;  2 945;   500;   244;   256;   531;   256;   275;;11D1818;;;;x
Tabuaço;  5 008;  2 378;  2 630;   447;   224;   223;   470;   222;   248;;11D1819;;;;x
Tarouca;  7 463;  3 625;  3 838;   877;   448;   429;   822;   428;   394;;11D1820;;;;x
