;;;;;;;;;;;;;;;
II.1.2 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2022 (continua);;;;;;;;;;;;;;;
II.1.2 - Resident population by municipality and according to age groups and sex on 31/12/2022 (to be continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;Total;;;0 a 14 anos;;;15 a 24 anos;;;;;Desagregação Territorial;;;
;HM;H;M;HM;H;M;HM;H;M;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Oeiras;  172 742;  80 351;  92 391;  24 262;  12 503;  11 759;  18 315;  9 485;  8 830;;1701110;;;;x
Palmela;  71 410;  34 458;  36 952;  10 219;  5 175;  5 044;  8 230;  4 191;  4 039;;1701508;;;;x
Seixal;  169 797;  80 168;  89 629;  25 233;  12 829;  12 404;  18 148;  9 228;  8 920;;1701510;;;;x
Sesimbra;  54 270;  26 275;  27 995;  8 069;  4 103;  3 966;  5 998;  3 041;  2 957;;1701511;;;;x
Setúbal;  122 547;  58 119;  64 428;  17 187;  8 805;  8 382;  13 543;  6 874;  6 669;;1701512;;;;x
Sintra;  388 767;  183 394;  205 373;  57 941;  29 361;  28 580;  45 544;  22 913;  22 631;;1701111;;;;x
Vila Franca de Xira;  137 994;  65 899;  72 095;  20 996;  10 863;  10 133;  15 236;  7 667;  7 569;;1701114;;;;x
  Alentejo;  714 552;  347 702;  366 850;  89 053;  45 469;  43 584;  70 368;  36 480;  33 888;;18;;x;;
   Alentejo Litoral;  99 111;  50 985;  48 126;  11 805;  6 017;  5 788;  8 720;  4 702;  4 018;;181;;;x;
Alcácer do Sal;  11 035;  5 379;  5 656;  1 224;   610;   614;  1 021;   569;   452;;1811501;;;;x
Grândola;  13 966;  7 099;  6 867;  1 742;   892;   850;  1 304;   696;   608;;1811505;;;;x
Odemira;  31 488;  17 895;  13 593;  3 254;  1 712;  1 542;  2 582;  1 479;  1 103;;1810211;;;;x
Santiago do Cacém;  28 061;  13 581;  14 480;  3 505;  1 775;  1 730;  2 388;  1 250;  1 138;;1811509;;;;x
Sines;  14 561;  7 031;  7 530;  2 080;  1 028;  1 052;  1 425;   708;   717;;1811513;;;;x
   Baixo Alentejo;  115 237;  56 591;  58 646;  14 828;  7 676;  7 152;  11 320;  5 773;  5 547;;184;;;x;
Aljustrel;  8 899;  4 383;  4 516;  1 099;   544;   555;   783;   379;   404;;1840201;;;;x
Almodôvar;  6 681;  3 294;  3 387;   752;   375;   377;   590;   302;   288;;1840202;;;;x
Alvito;  2 260;  1 045;  1 215;   290;   154;   136;   248;   110;   138;;1840203;;;;x
Barrancos;  1 457;   716;   741;   183;   105;   78;   168;   96;   72;;1840204;;;;x
Beja;  33 504;  16 412;  17 092;  4 784;  2 502;  2 282;  3 563;  1 834;  1 729;;1840205;;;;x
Castro Verde;  6 947;  3 360;  3 587;   839;   418;   421;   677;   332;   345;;1840206;;;;x
Cuba;  4 429;  2 159;  2 270;   573;   290;   283;   462;   238;   224;;1840207;;;;x
Ferreira do Alentejo;  7 812;  3 998;  3 814;   954;   505;   449;   689;   357;   332;;1840208;;;;x
Mértola;  6 175;  3 058;  3 117;   528;   283;   245;   454;   240;   214;;1840209;;;;x
Moura;  13 303;  6 429;  6 874;  2 013;  1 025;   988;  1 518;   763;   755;;1840210;;;;x
Ourique;  4 817;  2 322;  2 495;   492;   235;   257;   401;   205;   196;;1840212;;;;x
Serpa;  13 725;  6 854;  6 871;  1 620;   866;   754;  1 287;   677;   610;;1840213;;;;x
Vidigueira;  5 228;  2 561;  2 667;   701;   374;   327;   480;   240;   240;;1840214;;;;x
   Lezíria do Tejo;  243 230;  116 985;  126 245;  31 269;  15 865;  15 404;  25 494;  13 135;  12 359;;185;;;x;
Almeirim;  22 544;  10 708;  11 836;  2 967;  1 510;  1 457;  2 409;  1 230;  1 179;;1851403;;;;x
Alpiarça;  7 186;  3 454;  3 732;   887;   495;   392;   788;   419;   369;;1851404;;;;x
Azambuja;  22 244;  11 136;  11 108;  2 854;  1 461;  1 393;  2 339;  1 146;  1 193;;1851103;;;;x
Benavente;  31 476;  15 173;  16 303;  4 706;  2 389;  2 317;  3 649;  1 842;  1 807;;1851405;;;;x
Cartaxo;  23 942;  11 485;  12 457;  3 014;  1 500;  1 514;  2 495;  1 284;  1 211;;1851406;;;;x
Chamusca;  8 532;  4 130;  4 402;   895;   468;   427;   763;   395;   368;;1851407;;;;x
Coruche;  17 349;  8 230;  9 119;  1 904;   943;   961;  1 566;   826;   740;;1851409;;;;x
Golegã;  5 378;  2 554;  2 824;   611;   304;   307;   556;   278;   278;;1851412;;;;x
Rio Maior;  21 748;  10 642;  11 106;  2 915;  1 481;  1 434;  2 257;  1 199;  1 058;;1851414;;;;x
Salvaterra de Magos;  22 789;  10 949;  11 840;  2 832;  1 424;  1 408;  2 379;  1 193;  1 186;;1851415;;;;x
Santarém;  60 042;  28 524;  31 518;  7 684;  3 890;  3 794;  6 293;  3 323;  2 970;;1851416;;;;x
   Alto Alentejo;  104 121;  49 533;  54 588;  12 345;  6 227;  6 118;  9 968;  5 101;  4 867;;186;;;x;
Alter do Chão;  3 164;  1 462;  1 702;   380;   189;   191;   285;   139;   146;;1861201;;;;x
Arronches;  2 776;  1 353;  1 423;   314;   149;   165;   235;   132;   103;;1861202;;;;x
Avis;  3 784;  1 783;  2 001;   428;   208;   220;   319;   136;   183;;1861203;;;;x
Campo Maior;  7 954;  3 838;  4 116;  1 145;   580;   565;   930;   500;   430;;1861204;;;;x
Castelo de Vide;  3 194;  1 519;  1 675;   295;   159;   136;   251;   141;   110;;1861205;;;;x
Crato;  3 255;  1 536;  1 719;   299;   143;   156;   245;   139;   106;;1861206;;;;x
Elvas;  20 398;  9 711;  10 687;  2 845;  1 462;  1 383;  2 198;  1 102;  1 096;;1861207;;;;x
Fronteira;  2 941;  1 381;  1 560;   299;   157;   142;   290;   142;   148;;1861208;;;;x
Gavião;  3 361;  1 592;  1 769;   241;   128;   113;   240;   136;   104;;1861209;;;;x
Marvão;  3 037;  1 428;  1 609;   292;   129;   163;   258;   129;   129;;1861210;;;;x
Monforte;  2 975;  1 393;  1 582;   412;   211;   201;   324;   160;   164;;1861211;;;;x
Nisa;  5 724;  2 716;  3 008;   469;   244;   225;   446;   226;   220;;1861212;;;;x
Ponte de Sor;  15 177;  7 317;  7 860;  1 747;   896;   851;  1 358;   693;   665;;1861213;;;;x
Portalegre;  21 999;  10 466;  11 533;  2 694;  1 330;  1 364;  2 166;  1 098;  1 068;;1861214;;;;x
Sousel;  4 382;  2 038;  2 344;   485;   242;   243;   423;   228;   195;;1861215;;;;x
   Alentejo Central;  152 853;  73 608;  79 245;  18 806;  9 684;  9 122;  14 866;  7 769;  7 097;;187;;;x;
Alandroal;  5 004;  2 435;  2 569;   497;   236;   261;   435;   233;   202;;1870701;;;;x
Arraiolos;  6 739;  3 295;  3 444;   790;   416;   374;   606;   301;   305;;1870702;;;;x
Borba;  6 403;  3 131;  3 272;   756;   367;   389;   603;   317;   286;;1870703;;;;x
Estremoz;  12 600;  5 993;  6 607;  1 485;   765;   720;  1 128;   587;   541;;1870704;;;;x
Évora;  53 625;  25 589;  28 036;  7 122;  3 741;  3 381;  5 568;  2 912;  2 656;;1870705;;;;x
Montemor-o-Novo;  15 873;  7 632;  8 241;  1 869;   962;   907;  1 433;   717;   716;;1870706;;;;x
Mora;  4 177;  1 970;  2 207;   357;   161;   196;   338;   180;   158;;1870707;;;;x
Mourão;  2 396;  1 220;  1 176;   347;   182;   165;   247;   129;   118;;1870708;;;;x
Portel;  5 732;  2 828;  2 904;   683;   361;   322;   560;   302;   258;;1870709;;;;x
Redondo;  6 265;  3 067;  3 198;   735;   363;   372;   594;   309;   285;;1870710;;;;x
Reguengos de Monsaraz;  9 801;  4 756;  5 045;  1 243;   626;   617;   966;   541;   425;;1870711;;;;x
Vendas Novas;  11 425;  5 523;  5 902;  1 399;   734;   665;  1 146;   600;   546;;1870712;;;;x
Viana do Alentejo;  5 497;  2 631;  2 866;   712;   352;   360;   561;   295;   266;;1870713;;;;x
Vila Viçosa;  7 316;  3 538;  3 778;   811;   418;   393;   681;   346;   335;;1870714;;;;x
  Algarve;  472 000;  229 950;  242 050;  64 358;  32 886;  31 472;  46 526;  24 124;  22 402;;150;;x;x;
Albufeira;  45 169;  22 275;  22 894;  6 393;  3 301;  3 092;  4 592;  2 431;  2 161;;1500801;;;;x
Alcoutim;  2 457;  1 181;  1 276;   161;   90;   71;   185;   89;   96;;1500802;;;;x
Aljezur;  6 166;  3 095;  3 071;   809;   413;   396;   500;   263;   237;;1500803;;;;x
Castro Marim;  6 672;  3 292;  3 380;   770;   364;   406;   611;   306;   305;;1500804;;;;x
Faro;  68 192;  32 559;  35 633;  9 442;  4 803;  4 639;  6 923;  3 523;  3 400;;1500805;;;;x
Lagoa;  24 255;  11 890;  12 365;  3 303;  1 695;  1 608;  2 569;  1 331;  1 238;;1500806;;;;x
Lagos;  33 512;  16 375;  17 137;  4 264;  2 177;  2 087;  3 310;  1 750;  1 560;;1500807;;;;x
Loulé;  72 455;  35 154;  37 301;  10 018;  5 090;  4 928;  7 038;  3 627;  3 411;;1500808;;;;x
Monchique;  5 357;  2 705;  2 652;   554;   288;   266;   390;   194;   196;;1500809;;;;x
Olhão;  44 586;  21 816;  22 770;  6 420;  3 352;  3 068;  4 656;  2 431;  2 225;;1500810;;;;x
Portimão;  60 879;  29 389;  31 490;  8 884;  4 507;  4 377;  6 213;  3 265;  2 948;;1500811;;;;x
São Brás de Alportel;  11 424;  5 540;  5 884;  1 540;   798;   742;  1 074;   579;   495;;1500812;;;;x
Silves;  38 581;  18 992;  19 589;  5 295;  2 725;  2 570;  3 616;  1 840;  1 776;;1500813;;;;x
Tavira;  27 505;  13 658;  13 847;  3 214;  1 651;  1 563;  2 418;  1 244;  1 174;;1500814;;;;x
Vila do Bispo;  5 799;  2 840;  2 959;   758;   372;   386;   459;   233;   226;;1500815;;;;x
Vila Real de Santo António;  18 991;  9 189;  9 802;  2 533;  1 260;  1 273;  1 972;  1 018;   954;;1500816;;;;x
 R. A. Açores;  239 942;  117 224;  122 718;  34 864;  17 929;  16 935;  28 214;  14 404;  13 810;;200;x;x;x;
  Santa Maria;  5 489;  2 644;  2 845;   787;   403;   384;   662;   329;   333;;-;;;;
Vila do Porto;  5 489;  2 644;  2 845;   787;   403;   384;   662;   329;   333;;2004101;;;;x
  São Miguel;  135 745;  66 396;  69 349;  20 962;  10 766;  10 196;  17 140;  8 730;  8 410;;-;;;;
Lagoa (R.A.A.);  14 710;  7 263;  7 447;  2 403;  1 266;  1 137;  1 971;   974;   997;;2004201;;;;x
Nordeste;  4 434;  2 189;  2 245;   572;   305;   267;   534;   270;   264;;2004202;;;;x
Ponta Delgada;  68 314;  32 926;  35 388;  9 819;  4 997;  4 822;  8 083;  4 104;  3 979;;2004203;;;;x
Povoação;  5 877;  2 901;  2 976;   763;   376;   387;   742;   382;   360;;2004204;;;;x
Ribeira Grande;  32 036;  15 887;  16 149;  5 910;  3 021;  2 889;  4 512;  2 304;  2 208;;2004205;;;;x
Vila Franca do Campo;  10 374;  5 230;  5 144;  1 495;   801;   694;  1 298;   696;   602;;2004206;;;;x
  Terceira;  53 552;  26 000;  27 552;  7 195;  3 648;  3 547;  5 775;  2 930;  2 845;;-;;;;
Angra do Heroísmo;  33 885;  16 409;  17 476;  4 500;  2 254;  2 246;  3 716;  1 871;  1 845;;2004301;;;;x
Vila da Praia da Vitória;  19 667;  9 591;  10 076;  2 695;  1 394;  1 301;  2 059;  1 059;  1 000;;2004302;;;;x
  Graciosa;  4 112;  2 038;  2 074;   599;   322;   277;   441;   239;   202;;-;;;;
Santa Cruz da Graciosa;  4 112;  2 038;  2 074;   599;   322;   277;   441;   239;   202;;2004401;;;;x
  São Jorge;  8 465;  4 203;  4 262;  1 057;   579;   478;   879;   459;   420;;-;;;;
Calheta (R.A.A.);  3 514;  1 728;  1 786;   430;   228;   202;   393;   215;   178;;2004501;;;;x
Velas;  4 951;  2 475;  2 476;   627;   351;   276;   486;   244;   242;;2004502;;;;x
  Pico;  14 221;  6 916;  7 305;  1 879;   958;   921;  1 390;   702;   688;;-;;;;
Lajes do Pico;  4 383;  2 127;  2 256;   536;   277;   259;   438;   222;   216;;2004601;;;;x
Madalena;  6 481;  3 163;  3 318;   916;   470;   446;   668;   326;   342;;2004602;;;;x
São Roque do Pico;  3 357;  1 626;  1 731;   427;   211;   216;   284;   154;   130;;2004603;;;;x
  Faial;  14 423;  7 032;  7 391;  1 910;   999;   911;  1 507;   810;   697;;-;;;;
Horta;  14 423;  7 032;  7 391;  1 910;   999;   911;  1 507;   810;   697;;2004701;;;;x
  Flores;  3 503;  1 773;  1 730;   419;   227;   192;   380;   183;   197;;-;;;;
Lajes das Flores;  1 434;   746;   688;   156;   91;   65;   160;   86;   74;;2004801;;;;x
Santa Cruz das Flores;  2 069;  1 027;  1 042;   263;   136;   127;   220;   97;   123;;2004802;;;;x
  Corvo;   432;   222;   210;   56;   27;   29;   40;   22;   18;;-;;;;
Corvo;   432;   222;   210;   56;   27;   29;   40;   22;   18;;2004901;;;;x
 R. A. Madeira;  253 259;  119 062;  134 197;  31 605;  16 070;  15 535;  28 642;  14 568;  14 074;;300;x;x;x;
Calheta (R.A.M.);  10 962;  5 060;  5 902;  1 248;   640;   608;  1 152;   592;   560;;3003101;;;;x
Câmara de Lobos;  32 416;  15 500;  16 916;  4 744;  2 384;  2 360;  4 376;  2 272;  2 104;;3003102;;;;x
Funchal;  106 429;  49 514;  56 915;  12 567;  6 403;  6 164;  11 211;  5 722;  5 489;;3003103;;;;x
Machico;  19 508;  9 429;  10 079;  2 155;  1 110;  1 045;  2 233;  1 149;  1 084;;3003104;;;;x
Ponta do Sol;  8 518;  3 958;  4 560;   990;   511;   479;  1 077;   538;   539;;3003105;;;;x
Porto Moniz;  2 499;  1 082;  1 417;   224;   128;   96;   258;   114;   144;;3003106;;;;x
Ribeira Brava;  12 854;  5 884;  6 970;  1 580;   808;   772;  1 603;   801;   802;;3003107;;;;x
Santa Cruz;  43 416;  20 783;  22 633;  6 344;  3 181;  3 163;  5 013;  2 509;  2 504;;3003108;;;;x
Santana;  6 452;  2 964;  3 488;   644;   346;   298;   644;   311;   333;;3003109;;;;x
São Vicente;  4 859;  2 268;  2 591;   481;   249;   232;   494;   262;   232;;3003110;;;;x
Porto Santo;  5 346;  2 620;  2 726;   628;   310;   318;   581;   298;   283;;3003201;;;;x
;Total;;;0 - 14 years;;;15 - 24 years;;;;;;;;
;MF;M;F;MF;M;F;MF;M;F;;;;;;
© INE, I.P., Portugal, 2023. Informação disponível até 16 de outubro de 2023. Information available till 16th October, 2023.;;;;;;;;;;;;;;;
Fonte: INE, I.P., Estimativas Anuais da População Residente.;;;;;;;;;;;;;;;
Source: Statistics Portugal, Annual Estimates of Resident Population.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Para mais informação consulte / For more information see:;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008272;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
