;;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2022 (continuação);;;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2022 (continued);;;;;;;;;;;;;;;;;;;;
;Proporção de casamentos entre portugueses/as e estrangeiros/as;População estrangeira a quem foi concedido título de residência por 100 habitantes;Idade mediana da população residente;Índice de envelhecimento;Índice de renovação da população em idade ativa;Índice de dependência de idosas/os;Índice de longevidade;Relação de masculinidade;Relação de masculinidade dos estrangeiros a quem foi concedido título de residência ;Idade média das mulheres ao nascimento do primeiro filho;Idade média da mulher ao primeiro casamento;Idade média do homem ao primeiro casamento;"Esperança de vida à nascença
?";"Esperança de vida aos 65 anos
?";;;;;;
;%;N.º;;;;;;;;anos;;;;;;;Desagregação Territorial;;;
;2022;;;;;;;;;;;;2020-2022;;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Oliveira de Azeméis;  2,9;  0,42;  48,5;  208,3;  67,7;  37,4;  46,9;  94,7;  130,3;x;x;x;x;x;;11A0113;;;;x
Paredes;  5,1;  0,32;  44,3;  126,5;  83,6;  24,9;  41,5;  94,1;  178,4;x;x;x;x;x;;11A1310;;;;x
Porto;  27,3;  2,66;  47,1;  219,6;  85,1;  41,9;  50,7;  86,5;  112,9;x;x;x;x;x;;11A1312;;;;x
Póvoa de Varzim;  8,5;  1,04;  45,8;  162,6;  81,8;  32,5;  44,1;  90,6;  116,8;x;x;x;x;x;;11A1313;;;;x
Santa Maria da Feira;  4,2;  0,25;  47,1;  175,5;  69,9;  33,5;  45,0;  93,9;  113,7;x;x;x;x;x;;11A0109;;;;x
Santo Tirso;  12,2;  0,19;  49,5;  235,8;  66,5;  40,3;  45,2;  91,2;  104,8;x;x;x;x;x;;11A1314;;;;x
São João da Madeira;  14,3;  1,08;  47,0;  187,3;  72,5;  34,8;  46,2;  90,1;  111,0;x;x;x;x;x;;11A0116;;;;x
Trofa;  4,1;  0,58;  45,8;  166,3;  78,1;  31,1;  43,3;  93,3;  125,7;x;x;x;x;x;;11A1318;;;;x
Vale de Cambra;  15,1;  0,54;  51,0;  273,3;  63,8;  48,2;  48,7;  94,1;  96,6;x;x;x;x;x;;11A0119;;;;x
Valongo;  9,3;  0,38;  45,1;  150,8;  79,8;  30,3;  43,4;  91,1;  104,9;x;x;x;x;x;;11A1315;;;;x
Vila do Conde;  12,1;  0,61;  45,7;  154,5;  74,2;  32,1;  45,3;  92,9;  132,3;x;x;x;x;x;;11A1316;;;;x
Vila Nova de Gaia;  12,0;  0,81;  46,8;  174,5;  72,1;  34,3;  44,4;  91,2;  102,1;x;x;x;x;x;;11A1317;;;;x
   Alto Tâmega;  16,0;  0,29;  56,6;  398,2;  49,1;  65,5;  51,7;  92,0;  86,4;  29,8;  34,0;  35,7;  80,30;  20,05;;11B;;;x;
Boticas;  0,0;  0,10;  57,9;  436,7;  41,2;  71,8;  53,0;  91,0;  25,0;x;x;x;x;x;;11B1702;;;;x
Chaves;  22,4;  0,45;  54,4;  339,3;  52,7;  58,8;  50,8;  91,1;  64,7;x;x;x;x;x;;11B1703;;;;x
Montalegre;  0,0;  0,17;  59,9;  545,6;  44,5;  77,8;  54,3;  94,8;  220,0;x;x;x;x;x;;11B1706;;;;x
Ribeira de Pena;  15,8;  0,19;  54,2;  324,1;  52,4;  56,0;  50,1;  98,5; 1 000,0;x;x;x;x;x;;11B1709;;;;x
Valpaços;  5,0;  0,16;  59,8;  501,4;  44,3;  80,7;  53,3;  89,9;  109,1;x;x;x;x;x;;11B1712;;;;x
Vila Pouca de Aguiar;  3,6;  0,20;  57,1;  418,4;  49,2;  63,4;  50,3;  92,5;  155,6;x;x;x;x;x;;11B1713;;;;x
   Tâmega e Sousa;  6,2;  0,26;  46,1;  160,8;  78,2;  29,7;  44,1;  94,0;  181,9;  30,1;  30,7;  31,9;  80,83;  19,37;;11C;;;x;
Amarante;  4,3;  0,19;  48,3;  201,0;  69,8;  35,9;  44,7;  91,5;  216,1;x;x;x;x;x;;11C1301;;;;x
