;;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2022 (continuação);;;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2022 (continued);;;;;;;;;;;;;;;;;;;;
;Proporção de casamentos entre portugueses/as e estrangeiros/as;População estrangeira a quem foi concedido título de residência por 100 habitantes;Idade mediana da população residente;Índice de envelhecimento;Índice de renovação da população em idade ativa;Índice de dependência de idosas/os;Índice de longevidade;Relação de masculinidade;Relação de masculinidade dos estrangeiros a quem foi concedido título de residência ;Idade média das mulheres ao nascimento do primeiro filho;Idade média da mulher ao primeiro casamento;Idade média do homem ao primeiro casamento;"Esperança de vida à nascença
?";"Esperança de vida aos 65 anos
?";;;;;;
;%;N.º;;;;;;;;anos;;;;;;;Desagregação Territorial;;;
;2022;;;;;;;;;;;;2020-2022;;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Carregal do Sal;  15,4;  0,40;  52,6;  292,9;  64,3;  57,0;  51,4;  88,9;  80,0;x;x;x;x;x;;16G1802;;;;x
Castro Daire;  4,5;  0,13;  54,4;  356,1;  56,4;  57,7;  51,6;  91,7;  63,6;x;x;x;x;x;;16G1803;;;;x
Mangualde;  11,5;  0,40;  50,9;  268,5;  65,7;  51,2;  50,9;  92,7;  68,2;x;x;x;x;x;;16G1806;;;;x
Nelas;  2,1;  0,33;  51,0;  277,5;  65,6;  54,2;  51,4;  89,4;  152,9;x;x;x;x;x;;16G1809;;;;x
Oliveira de Frades;  13,3;  0,94;  47,6;  203,5;  76,4;  40,5;  51,0;  93,0;  160,0;x;x;x;x;x;;16G1810;;;;x
Penalva do Castelo;  2,9;  0,12;  54,6;  367,2;  61,6;  64,8;  54,9;  93,1;  125,0;x;x;x;x;x;;16G1811;;;;x
Santa Comba Dão;  7,8;  0,44;  52,4;  304,3;  64,0;  58,1;  52,4;  91,0;  140,0;x;x;x;x;x;;16G1814;;;;x
São Pedro do Sul;  23,3;  0,54;  53,9;  341,7;  65,3;  59,2;  51,3;  90,6;  156,3;x;x;x;x;x;;16G1816;;;;x
Sátão;  4,3;  0,15;  52,1;  292,8;  68,9;  54,1;  52,8;  91,1;  88,9;x;x;x;x;x;;16G1817;;;;x
Tondela;  4,1;  0,39;  53,1;  322,8;  62,3;  56,4;  53,0;  90,6;  112,8;x;x;x;x;x;;16G1821;;;;x
Vila Nova de Paiva;  25,0;  0,04;  53,7;  346,6;  63,8;  57,4;  51,9;  93,0;  0,0;x;x;x;x;x;;16G1822;;;;x
Viseu;  6,3;  0,75;  46,9;  187,0;  77,4;  38,7;  48,8;  89,6;  92,1;x;x;x;x;x;;16G1823;;;;x
Vouzela;  13,3;  0,43;  52,1;  311,2;  66,1;  54,0;  54,5;  90,3;  100,0;x;x;x;x;x;;16G1824;;;;x
   Beira Baixa;  9,6;  1,02;  53,8;  326,4;  57,6;  59,9;  54,9;  91,9;  106,8;  29,6;  34,1;  35,0;  80,09;  20,01;;16H;;;x;
Castelo Branco;  6,6;  1,08;  50,5;  249,4;  62,3;  48,4;  51,4;  90,8;  102,5;x;x;x;x;x;;16H0502;;;;x
Idanha-a-Nova;  28,0;  1,48;  59,9;  463,3;  51,5;  86,2;  60,8;  93,0;  121,4;x;x;x;x;x;;16H0505;;;;x
Oleiros;  8,3;  0,51;  62,9;  745,5;  42,9;  96,5;  57,9;  90,9;  212,5;x;x;x;x;x;;16H0506;;;;x
Penamacor;  0,0;  1,03;  61,5;  673,3;  45,6;  89,5;  61,4;  99,2;  113,0;x;x;x;x;x;;16H0507;;;;x
Proença-a-Nova;  16,7;  0,39;  58,3;  464,0;  50,7;  72,1;  54,9;  95,1;  133,3;x;x;x;x;x;;16H0508;;;;x
Vila Velha de Ródão;  0,0;  0,99;  60,2;  478,2;  55,1;  93,4;  61,9;  90,9;  61,9;x;x;x;x;x;;16H0511;;;;x
   Médio Tejo;  13,0;  0,72;  51,0;  256,7;  64,8;  49,2;  53,2;  91,0;  116,2;  30,3;  33,4;  35,1;  80,84;  19,92;;16I;;;x;
Abrantes;  10,7;  0,40;  53,4;  313,9;  55,0;  54,3;  52,5;  92,7;  119,4;x;x;x;x;x;;16I1401;;;;x
Alcanena;  5,3;  0,57;  50,8;  244,0;  60,4;  49,2;  50,8;  92,8;  153,6;x;x;x;x;x;;16I1402;;;;x
Constância;  25,0;  0,31;  48,4;  203,4;  62,6;  39,9;  51,8;  89,9;  200,0;x;x;x;x;x;;16I1408;;;;x
Entroncamento;  0,0;  1,58;  45,5;  145,3;  75,2;  32,6;  52,9;  90,0;  97,6;x;x;x;x;x;;16I1410;;;;x
Ferreira do Zêzere;  11,5;  0,78;  52,7;  303,2;  63,6;  56,2;  54,2;  90,3;  134,6;x;x;x;x;x;;16I1411;;;;x
Mação;  15,4;  0,80;  60,1;  535,1;  53,6;  81,3;  62,2;  91,7;  121,7;x;x;x;x;x;;16I1413;;;;x
Ourém;  14,0;  1,07;  48,9;  223,9;  74,8;  44,3;  53,4;  89,8;  121,5;x;x;x;x;x;;16I1421;;;;x
Sardoal;  0,0;  0,56;  52,8;  354,1;  60,2;  52,7;  52,9;  92,8;  150,0;x;x;x;x;x;;16I1417;;;;x
Sertã;  18,2;  0,69;  53,4;  303,5;  60,4;  55,3;  54,1;  93,7;  112,5;x;x;x;x;x;;16I0509;;;;x
Tomar;  10,3;  0,67;  52,9;  298,0;  62,1;  53,4;  51,6;  89,6;  117,9;x;x;x;x;x;;16I1418;;;;x
Torres Novas;  7,9;  0,31;  50,2;  240,5;  64,0;  48,2;  52,2;  91,8;  125,5;x;x;x;x;x;;16I1419;;;;x
Vila de Rei;  37,5;  0,38;  56,1;  405,9;  75,5;  74,6;  61,7;  88,2;  85,7;x;x;x;x;x;;16I0510;;;;x
Vila Nova da Barquinha;  24,0;  0,23;  48,5;  208,5;  69,5;  44,5;  54,3;  90,2;  54,5;x;x;x;x;x;;16I1420;;;;x
   Beiras e Serra da Estrela;  8,7;  0,60;  54,3;  343,7;  56,6;  59,1;  53,0;  91,2;  117,4;  30,4;  33,2;  35,0;  80,72;  19,97;;16J;;;x;
Almeida;  0,0;  0,14;  62,0;  697,0;  45,9;  89,4;  58,9;  88,6;  14,3;x;x;x;x;x;;16J0902;;;;x
Belmonte;  0,0;  0,55;  53,5;  314,1;  56,8;  56,9;  55,4;  93,5;  161,5;x;x;x;x;x;;16J0501;;;;x
Celorico da Beira;  7,7;  0,38;  55,9;  384,0;  55,7;  65,7;  55,1;  91,0;  56,3;x;x;x;x;x;;16J0903;;;;x
Covilhã;  12,3;  0,91;  52,0;  295,2;  62,0;  52,1;  49,5;  91,4;  120,9;x;x;x;x;x;;16J0503;;;;x
Figueira de Castelo Rodrigo;  9,1;  0,12;  57,2;  382,7;  51,3;  72,9;  56,8;  90,4;  200,0;x;x;x;x;x;;16J0904;;;;x
Fornos de Algodres;  25,0;  0,14;  56,4;  391,0;  49,8;  65,6;  58,7;  85,7;  200,0;x;x;x;x;x;;16J0905;;;;x
Fundão;  11,6;  1,22;  53,6;  324,4;  57,2;  57,9;  53,0;  93,8;  147,3;x;x;x;x;x;;16J0504;;;;x
Gouveia;  0,0;  0,46;  58,1;  435,6;  49,6;  74,4;  54,4;  89,3;  107,4;x;x;x;x;x;;16J0906;;;;x
Guarda;  4,3;  0,51;  49,6;  235,0;  64,7;  41,3;  49,9;  91,3;  103,0;x;x;x;x;x;;16J0907;;;;x
Manteigas;  0,0;  0,44;  58,3;  489,1;  58,6;  72,3;  50,1;  87,0;  62,5;x;x;x;x;x;;16J0908;;;;x
Mêda;  26,7;  0,20;  58,4;  477,1;  47,6;  73,4;  56,6;  90,8;  200,0;x;x;x;x;x;;16J0909;;;;x
Pinhel;  5,9;  0,15;  58,6;  493,9;  46,7;  74,4;  56,4;  93,6;  71,4;x;x;x;x;x;;16J0910;;;;x
Sabugal;  0,0;  0,15;  62,0;  589,8;  45,3;  94,7;  58,9;  90,2;  112,5;x;x;x;x;x;;16J0911;;;;x
Seia;  13,2;  0,44;  55,7;  367,6;  52,5;  63,7;  51,0;  90,1;  82,7;x;x;x;x;x;;16J0912;;;;x
Trancoso;  0,0;  0,24;  56,6;  421,3;  50,9;  67,6;  56,3;  91,7;  150,0;x;x;x;x;x;;16J0913;;;;x
  A. M. Lisboa;  21,1;  2,48;  45,0;  152,3;  86,2;  34,9;  49,5;  89,3;  125,3;  30,3;  35,3;  36,8;  80,65;  19,51;;170;;x;x;
Alcochete;  3,4;  0,90;  44,8;  115,4;  82,6;  27,4;  49,0;  92,3;  126,9;x;x;x;x;x;;1701502;;;;x
Almada;  13,1;  2,14;  46,4;  175,7;  81,1;  39,4;  50,7;  88,8;  114,9;x;x;x;x;x;;1701503;;;;x
Amadora;  12,7;  2,66;  44,1;  154,1;  92,3;  36,2;  50,2;  86,6;  138,7;x;x;x;x;x;;1701115;;;;x
Barreiro;  20,6;  1,66;  47,0;  194,1;  84,8;  42,4;  51,1;  88,3;  106,0;x;x;x;x;x;;1701504;;;;x
Cascais;  23,6;  2,70;  46,9;  164,2;  74,2;  37,5;  49,1;  87,7;  105,4;x;x;x;x;x;;1701105;;;;x
Lisboa;  30,5;  4,60;  44,8;  173,7;  92,6;  37,4;  54,0;  88,4;  141,0;x;x;x;x;x;;1701106;;;;x
Loures;  11,0;  2,24;  44,6;  149,3;  87,4;  36,1;  49,4;  89,4;  129,8;x;x;x;x;x;;1701107;;;;x
Mafra;  13,8;  1,45;  43,8;  113,2;  82,3;  27,6;  48,3;  93,8;  109,5;x;x;x;x;x;;1701109;;;;x
Moita;  5,8;  1,58;  45,1;  147,9;  84,7;  35,4;  45,5;  90,0;  100,6;x;x;x;x;x;;1701506;;;;x
Montijo;  7,0;  2,03;  42,6;  115,8;  91,1;  29,0;  48,7;  95,1;  142,0;x;x;x;x;x;;1701507;;;;x
Odivelas;x;  3,16;  43,7;  136,8;  90,9;  34,1;  47,7;  89,3;  155,8;x;x;x;x;x;;1701116;;;;x
Oeiras;  22,6;  1,60;  46,6;  174,6;  81,6;  39,9;  50,9;  87,0;  96,9;x;x;x;x;x;;1701110;;;;x
Palmela;  1,9;  0,86;  45,3;  148,9;  82,6;  33,1;  50,7;  93,3;  113,7;x;x;x;x;x;;1701508;;;;x
Seixal;  18,8;  1,71;  44,9;  149,5;  86,0;  35,3;  45,8;  89,4;  102,3;x;x;x;x;x;;1701510;;;;x
Sesimbra;  23,7;  1,01;  44,8;  139,6;  80,4;  32,2;  47,2;  93,9;  99,6;x;x;x;x;x;;1701511;;;;x
Setúbal;  26,0;  1,63;  46,6;  170,4;  79,5;  38,5;  47,7;  90,2;  110,6;x;x;x;x;x;;1701512;;;;x
Sintra;  17,4;  1,99;  43,7;  124,8;  90,3;  28,0;  46,4;  89,3;  113,3;x;x;x;x;x;;1701111;;;;x
Vila Franca de Xira;  12,6;  1,18;  44,1;  127,1;  82,0;  29,5;  43,4;  91,4;  107,9;x;x;x;x;x;;1701114;;;;x
  Alentejo;  12,6;  1,12;  48,8;  215,6;  68,2;  44,3;  52,3;  94,8;  200,9;  29,2;  33,7;  35,4;  80,09;  19,17;;18;;x;;
   Alentejo Litoral;  17,5;  3,08;  47,5;  221,5;  71,0;  42,8;  50,7;  105,9;  302,5;  29,5;  35,5;  37,3;  79,94;  19,57;;181;;;x;
Alcácer do Sal;  23,5;  0,55;  52,2;  286,3;  56,8;  55,6;  50,2;  95,1;  165,2;x;x;x;x;x;;1811501;;;;x
Grândola;  22,9;  1,35;  48,4;  220,3;  66,9;  45,7;  52,9;  103,4;  139,2;x;x;x;x;x;;1811505;;;;x
Odemira;  9,3;  7,53;  44,6;  220,0;  95,0;  34,0;  52,9;  131,6;  397,0;x;x;x;x;x;;1810211;;;;x
Santiago do Cacém;  15,2;  0,84;  50,0;  236,8;  56,9;  51,0;  49,3;  93,8;  150,0;x;x;x;x;x;;1811509;;;;x
Sines;  18,8;  1,50;  46,0;  161,2;  66,3;  36,7;  47,5;  93,4;  143,8;x;x;x;x;x;;1811513;;;;x
   Baixo Alentejo;  11,4;  0,93;  49,3;  211,8;  64,2;  45,5;  51,5;  96,5;  286,7;  28,5;  33,1;  35,0;  78,30;  18,17;;184;;;x;
Aljustrel;  0,0;  0,51;  50,3;  232,1;  58,7;  48,6;  47,4;  97,1;  246,2;x;x;x;x;x;;1840201;;;;x
Almodôvar;  16,7;  0,65;  52,5;  284,6;  59,0;  56,5;  52,9;  97,3;  214,3;x;x;x;x;x;;1840202;;;;x
Alvito;  37,5;  0,75;  49,1;  217,2;  63,4;  47,0;  54,0;  86,0;  112,5;x;x;x;x;x;;1840203;;;;x
Barrancos;  0,0;  0,34;  50,9;  186,9;  52,1;  36,7;  54,1;  96,6;  25,0;x;x;x;x;x;;1840204;;;;x
Beja;  5,8;  1,30;  46,5;  163,2;  71,1;  37,3;  50,6;  96,0;  276,7;x;x;x;x;x;;1840205;;;;x
Castro Verde;  12,5;  0,81;  50,0;  224,0;  60,4;  44,4;  50,8;  93,7;  194,7;x;x;x;x;x;;1840206;;;;x
Cuba;  30,8;  1,72;  47,4;  194,8;  68,2;  40,7;  56,4;  95,1;  442,9;x;x;x;x;x;;1840207;;;;x
Ferreira do Alentejo;  31,3;  2,29;  48,5;  232,8;  71,3;  47,9;  49,3;  104,8;  616,0;x;x;x;x;x;;1840208;;;;x
Mértola;  5,9;  0,27;  56,8;  427,1;  45,5;  66,5;  55,5;  98,1;  142,9;x;x;x;x;x;;1840209;;;;x
Moura;  2,2;  0,22;  48,1;  175,8;  70,4;  45,6;  50,2;  93,5;  93,3;x;x;x;x;x;;1840210;;;;x
Ourique;  9,1;  0,66;  53,9;  332,7;  57,3;  60,9;  55,6;  93,1;  77,8;x;x;x;x;x;;1840212;;;;x
Serpa;  17,4;  0,81;  51,8;  240,4;  58,1;  47,4;  51,5;  99,8;  489,5;x;x;x;x;x;;1840213;;;;x
Vidigueira;  13,3;  0,50;  48,7;  199,4;  67,6;  44,7;  52,4;  96,0;  333,3;x;x;x;x;x;;1840214;;;;x
   Lezíria do Tejo;  13,0;  1,02;  47,8;  199,1;  73,6;  41,6;  51,7;  92,7;  143,5;  29,4;  33,2;  34,6;  80,32;  19,43;;185;;;x;
Almeirim;  25,0;  0,81;  47,6;  193,8;  72,8;  41,6;  52,7;  90,5;  129,1;x;x;x;x;x;;1851403;;;;x
Alpiarça;  0,0;  0,56;  49,3;  230,7;  74,0;  48,1;  50,9;  92,6;  185,7;x;x;x;x;x;;1851404;;;;x
Azambuja;  21,6;  1,20;  46,1;  182,3;  78,8;  36,7;  50,6;  100,3;  124,6;x;x;x;x;x;;1851103;;;;x
Benavente;  14,7;  1,01;  44,2;  132,8;  87,1;  30,5;  48,6;  93,1;  96,9;x;x;x;x;x;;1851405;;;;x
Cartaxo;  7,1;  1,06;  47,8;  200,1;  73,2;  40,5;  51,6;  92,2;  135,5;x;x;x;x;x;;1851406;;;;x
Chamusca;  0,0;  0,20;  52,6;  300,4;  58,0;  54,3;  52,9;  93,8;  88,9;x;x;x;x;x;;1851407;;;;x
Coruche;  11,8;  0,28;  54,0;  301,9;  55,6;  59,3;  53,7;  90,3;  118,2;x;x;x;x;x;;1851409;;;;x
Golegã;  4,4;  0,26;  49,7;  251,2;  74,4;  47,5;  52,2;  90,4;  250,0;x;x;x;x;x;;1851412;;;;x
Rio Maior;  3,4;  1,82;  46,6;  178,3;  79,3;  38,1;  50,6;  95,8;  194,8;x;x;x;x;x;;1851414;;;;x
Salvaterra de Magos;  15,1;  0,48;  48,4;  213,3;  74,2;  43,4;  51,9;  92,5;  134,8;x;x;x;x;x;;1851415;;;;x
Santarém;  13,8;  1,38;  48,3;  205,1;  71,4;  43,1;  52,2;  90,5;  159,9;x;x;x;x;x;;1851416;;;;x
   Alto Alentejo;  7,5;  0,48;  51,2;  250,0;  61,6;  50,7;  54,9;  90,7;  144,4;  28,9;  33,4;  35,5;  79,33;  18,88;;186;;;x;
Alter do Chão;  16,7;  0,89;  52,6;  269,7;  60,7;  58,3;  60,6;  85,9;  75,0;x;x;x;x;x;;1861201;;;;x
Arronches;  0,0;  0,22;  52,0;  268,2;  61,1;  52,0;  62,2;  95,1;  500,0;x;x;x;x;x;;1861202;;;;x
Avis;  14,3;  0,21;  52,9;  287,4;  61,5;  57,9;  53,0;  89,1;  166,7;x;x;x;x;x;;1861203;;;;x
Campo Maior;  6,7;  0,21;  46,2;  165,7;  81,3;  38,6;  49,5;  93,2;  54,5;x;x;x;x;x;;1861204;;;;x
Castelo de Vide;  25,0;  0,75;  54,7;  373,9;  59,4;  61,4;  57,1;  90,7;  118,2;x;x;x;x;x;;1861205;;;;x
Crato;  6,3;  0,15;  56,9;  413,7;  56,5;  72,0;  60,5;  89,4;  150,0;x;x;x;x;x;;1861206;;;;x
Elvas;  9,9;  0,43;  48,0;  176,1;  66,5;  40,0;  51,7;  90,9;  206,9;x;x;x;x;x;;1861207;;;;x
Fronteira;  20,0;  0,88;  53,0;  318,7;  53,3;  56,4;  54,4;  88,5;  136,4;x;x;x;x;x;;1861208;;;;x
Gavião;  14,3;  0,06;  59,9;  579,3;  43,2;  81,0;  64,0;  90,0;  0,0;x;x;x;x;x;;1861209;;;;x
Marvão;  0,0;  1,38;  54,7;  349,0;  52,0;  59,0;  56,6;  88,8;  121,1;x;x;x;x;x;;1861210;;;;x
Monforte;  0,0;  0,23;  49,1;  202,9;  76,7;  48,4;  60,9;  88,1;  133,3;x;x;x;x;x;;1861211;;;;x
Nisa;  0,0;  0,33;  58,8;  488,7;  48,7;  77,4;  59,8;  90,3;  90,0;x;x;x;x;x;;1861212;;;;x
Ponte de Sor;  0,0;  0,55;  51,8;  258,1;  56,9;  50,5;  53,6;  93,1;  223,1;x;x;x;x;x;;1861213;;;;x
Portalegre;  3,1;  0,61;  50,0;  228,1;  61,4;  46,7;  50,5;  90,7;  130,5;x;x;x;x;x;;1861214;;;;x
Sousel;  0,0;  0,30;  51,4;  282,3;  68,4;  54,2;  60,9;  86,9;  225,0;x;x;x;x;x;;1861215;;;;x
   Alentejo Central;  13,0;  0,61;  49,2;  219,9;  66,1;  44,6;  53,0;  92,9;  125,7;  29,6;  34,3;  36,0;  80,50;  19,57;;187;;;x;
Alandroal;  23,5;  0,48;  53,2;  312,1;  50,1;  52,5;  59,7;  94,8;  140,0;x;x;x;x;x;;1870701;;;;x
Arraiolos;  10,7;  0,31;  50,2;  237,8;  60,9;  46,2;  53,2;  95,7;  75,0;x;x;x;x;x;;1870702;;;;x
Borba;  0,0;  0,16;  51,8;  241,7;  52,5;  47,8;  56,5;  95,7;  150,0;x;x;x;x;x;;1870703;;;;x
Estremoz;  8,9;  0,31;  51,3;  242,2;  56,8;  47,8;  59,0;  90,7;  129,4;x;x;x;x;x;;1870704;;;;x
Évora;  11,5;  0,83;  46,9;  180,4;  71,8;  38,2;  48,2;  91,3;  95,2;x;x;x;x;x;;1870705;;;;x
Montemor-o-Novo;  20,8;  0,66;  50,4;  255,6;  63,7;  51,8;  55,5;  92,6;  191,7;x;x;x;x;x;;1870706;;;;x
Mora;  0,0;  0,22;  57,0;  445,9;  56,5;  71,5;  55,3;  89,3;  28,6;x;x;x;x;x;;1870707;;;;x
Mourão;  0,0;  0,84;  48,9;  186,2;  77,9;  46,0;  52,0;  103,7;  185,7;x;x;x;x;x;;1870708;;;;x
Portel;  18,2;  0,21;  49,7;  232,8;  69,7;  46,0;  53,2;  97,4;  140,0;x;x;x;x;x;;1870709;;;;x
Redondo;  7,1;  0,27;  49,8;  234,3;  65,9;  45,2;  55,0;  95,9;  183,3;x;x;x;x;x;;1870710;;;;x
Reguengos de Monsaraz;  18,9;  0,49;  49,1;  208,7;  64,9;  43,5;  51,3;  94,3;  140,0;x;x;x;x;x;;1870711;;;;x
Vendas Novas;  11,8;  1,11;  49,2;  239,2;  80,8;  50,1;  55,9;  93,6;  225,6;x;x;x;x;x;;1870712;;;;x
Viana do Alentejo;  22,2;  0,24;  48,2;  196,1;  70,3;  41,2;  55,8;  91,8;  225,0;x;x;x;x;x;;1870713;;;;x
Vila Viçosa;  14,6;  0,52;  51,0;  245,4;  57,1;  44,1;  50,8;  93,6;  137,5;x;x;x;x;x;;1870714;;;;x
  Algarve;  16,7;  2,80;  47,0;  177,2;  70,3;  38,8;  47,2;  95,0;  127,0;  29,4;  34,5;  36,4;  79,99;  19,16;;150;;x;x;
Albufeira;  20,7;  4,39;  44,4;  133,7;  77,2;  28,3;  43,2;  97,3;  131,4;x;x;x;x;x;;1500801;;;;x
Alcoutim;  9,7;  0,72;  62,6;  705,0;  63,3;  97,8;  59,0;  92,6;  100,0;x;x;x;x;x;;1500802;;;;x
Aljezur;  10,4;  4,27;  48,5;  202,0;  57,5;  43,9;  52,3;  100,8;  119,2;x;x;x;x;x;;1500803;;;;x
Castro Marim;  29,0;  1,51;  52,6;  277,1;  65,7;  56,6;  50,0;  97,4;  143,9;x;x;x;x;x;;1500804;;;;x
Faro;  5,5;  2,27;  45,7;  161,9;  79,2;  35,2;  48,1;  91,4;  145,3;x;x;x;x;x;;1500805;;;;x
Lagoa;  21,7;  2,35;  47,4;  175,2;  68,1;  38,2;  44,4;  96,2;  118,8;x;x;x;x;x;;1500806;;;;x
Lagos;  22,2;  3,72;  48,7;  202,8;  62,5;  42,0;  43,4;  95,6;  109,7;x;x;x;x;x;;1500807;;;;x
Loulé;  14,4;  3,28;  47,0;  172,4;  67,7;  38,2;  48,4;  94,2;  114,4;x;x;x;x;x;;1500808;;;;x
Monchique;  22,0;  1,52;  55,7;  328,9;  43,6;  61,1;  54,0;  102,0;  141,2;x;x;x;x;x;;1500809;;;;x
Olhão;  11,4;  1,45;  46,2;  162,6;  74,1;  37,6;  46,7;  95,8;  129,4;x;x;x;x;x;;1500810;;;;x
Portimão;  13,8;  3,04;  45,5;  155,8;  78,6;  36,3;  46,8;  93,3;  122,2;x;x;x;x;x;;1500811;;;;x
São Brás de Alportel;  20,4;  1,50;  48,0;  192,8;  68,5;  42,9;  51,5;  94,2;  111,1;x;x;x;x;x;;1500812;;;;x
Silves;  14,3;  2,37;  47,1;  181,6;  66,0;  40,6;  48,8;  97,0;  144,4;x;x;x;x;x;;1500813;;;;x
Tavira;  10,7;  3,02;  51,2;  257,4;  56,9;  51,6;  47,1;  98,6;  149,1;x;x;x;x;x;;1500814;;;;x
Vila do Bispo;  14,8;  4,41;  49,4;  207,7;  52,7;  45,4;  49,6;  96,0;  118,8;x;x;x;x;x;;1500815;;;;x
Vila Real de Santo António;  9,1;  2,00;  48,2;  199,0;  70,9;  44,1;  44,9;  93,7;  144,5;x;x;x;x;x;;1500816;;;;x
 R. A. Açores;  5,8;  0,37;  42,7;  117,2;  87,0;  24,9;  42,3;  95,5;  98,2;  29,0;  31,0;  33,6;  78,04;  17,65;;200;x;x;x;
  Santa Maria;  0,0;  0,71;  43,2;  123,5;  85,1;  26,1;  40,6;  92,9;  95,0;x;x;x;x;x;;-;;;;
Vila do Porto;  0,0;  0,71;  43,2;  123,5;  85,1;  26,1;  40,6;  92,9;  95,0;x;x;x;x;x;;2004101;;;;x
  São Miguel;  3,9;  0,30;  41,1;  94,5;  96,9;  20,9;  41,0;  95,7;  93,0;x;x;x;x;x;;-;;;;
Lagoa (R.A.A.);  0,8;  0,21;  39,9;  80,2;  106,2;  18,6;  40,7;  97,5;  114,3;x;x;x;x;x;;2004201;;;;x
Nordeste;  0,0;  0,23;  46,0;  159,3;  77,0;  30,9;  46,4;  97,5;  42,9;x;x;x;x;x;;2004202;;;;x
Ponta Delgada;  8,4;  0,43;  42,2;  109,0;  90,8;  22,4;  41,5;  93,0;  88,5;x;x;x;x;x;;2004203;;;;x
Povoação;  0,0;  0,17;  44,2;  136,7;  81,4;  25,6;  42,4;  97,5;  42,9;x;x;x;x;x;;2004204;;;;x
Ribeira Grande;  1,9;  0,16;  37,8;  60,9;  115,3;  16,0;  38,6;  98,4;  173,7;x;x;x;x;x;;2004205;;;;x
Vila Franca do Campo;  0,0;  0,14;  42,0;  108,7;  96,3;  22,4;  39,4;  101,7;  50,0;x;x;x;x;x;;2004206;;;;x
  Terceira;  7,0;  0,28;  44,5;  145,3;  76,2;  29,1;  42,0;  94,4;  75,6;x;x;x;x;x;;-;;;;
Angra do Heroísmo;  6,8;  0,30;  44,6;  148,8;  78,7;  29,5;  43,5;  93,9;  74,1;x;x;x;x;x;;2004301;;;;x
Vila da Praia da Vitória;  7,8;  0,25;  44,2;  139,4;  72,2;  28,4;  39,3;  95,2;  78,6;x;x;x;x;x;;2004302;;;;x
  Graciosa;  0,0;  0,34;  44,9;  147,2;  74,9;  33,5;  48,0;  98,3;  180,0;x;x;x;x;x;;-;;;;
Santa Cruz da Graciosa;  0,0;  0,34;  44,9;  147,2;  74,9;  33,5;  48,0;  98,3;  180,0;x;x;x;x;x;;2004401;;;;x
  São Jorge;  5,3;  0,33;  46,4;  178,6;  71,2;  34,2;  47,8;  98,6;  86,7;x;x;x;x;x;;-;;;;
Calheta (R.A.A.);  0,0;  0,14;  46,7;  197,4;  74,2;  38,0;  51,5;  96,8;  25,0;x;x;x;x;x;;2004501;;;;x
Velas;  6,3;  0,46;  46,1;  165,7;  69,4;  31,6;  44,8;  100,0;  109,1;x;x;x;x;x;;2004502;;;;x
  Pico;  14,5;  0,61;  45,8;  164,5;  70,7;  33,4;  46,0;  94,7;  128,9;x;x;x;x;x;;-;;;;
Lajes do Pico;  26,7;  0,55;  47,9;  202,2;  64,7;  39,2;  48,1;  94,3;  100,0;x;x;x;x;x;;2004601;;;;x
Madalena;  6,3;  0,62;  44,3;  140,2;  80,6;  30,0;  45,8;  95,3;  166,7;x;x;x;x;x;;2004602;;;;x
São Roque do Pico;  20,0;  0,69;  46,0;  169,3;  61,4;  32,8;  43,4;  93,9;  109,1;x;x;x;x;x;;2004603;;;;x
  Faial;  9,4;  0,93;  45,6;  156,1;  74,7;  31,3;  43,4;  95,1;  139,3;x;x;x;x;x;;-;;;;
Horta;  9,4;  0,93;  45,6;  156,1;  74,7;  31,3;  43,4;  95,1;  139,3;x;x;x;x;x;;2004701;;;;x
  Flores;  10,0;  0,66;  45,9;  168,3;  71,4;  29,6;  43,5;  102,5;  64,3;x;x;x;x;x;;-;;;;
Lajes das Flores;  0,0;  1,26;  47,2;  200,6;  73,3;  32,4;  43,5;  108,4;  63,6;x;x;x;x;x;;2004801;;;;x
Santa Cruz das Flores;  14,3;  0,24;  44,9;  149,0;  70,0;  27,7;  43,6;  98,6;  66,7;x;x;x;x;x;;2004802;;;;x
  Corvo;  100,0;  0,71;  44,9;  141,1;  84,2;  26,6;  41,8;  105,7;  50,0;x;x;x;x;x;;-;;;;
Corvo;  100,0;  0,71;  44,9;  141,1;  84,2;  26,6;  41,8;  105,7;  50,0;x;x;x;x;x;;2004901;;;;x
 R. A. Madeira;  11,4;  0,83;  46,7;  165,0;  68,8;  30,8;  44,7;  88,7;  99,1;  30,2;  33,4;  34,9;  78,77;  17,95;;300;x;x;x;
Calheta (R.A.M.);  15,8;  1,92;  49,6;  226,1;  60,9;  40,9;  50,2;  85,7;  94,4;x;x;x;x;x;;3003101;;;;x
Câmara de Lobos;  6,5;  0,29;  42,4;  107,3;  92,3;  22,5;  41,1;  91,6;  91,8;x;x;x;x;x;;3003102;;;;x
Funchal;  11,5;  1,09;  48,0;  190,1;  63,2;  34,2;  44,8;  87,0;  102,3;x;x;x;x;x;;3003103;;;;x
Machico;  12,8;  0,35;  48,3;  194,9;  64,6;  31,9;  42,4;  93,6;  86,5;x;x;x;x;x;;3003104;;;;x
Ponta do Sol;  9,1;  0,95;  47,3;  187,9;  74,6;  32,8;  49,3;  86,8;  84,1;x;x;x;x;x;;3003105;;;;x
