;;;;;;;;;;;;;;;;;;;;;
II.1.3 - Movimento da população e população estrangeira por município, 2022 (continuação);;;;;;;;;;;;;;;;;;;;;
II.1.3 - Population changes and foreign population by municipality, 2022 (continued);;;;;;;;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;;;;;;;Unit: No.;;;;;;
;Casamentos;;;;;;Casamentos dissolvidos;;;População estrangeira a quem foi concedido título de residência;;;População estrangeira com estatuto de residente;;;;;;;;
;Total;Entre pessoas de sexo oposto;;;Entre pessoas do mesmo sexo;;;;;;;;;;;;;;;;
;;Total;dos quais;;Masculino;Feminino;Total;por divórcio;por morte;;;;;;;;;Desagregação Territorial;;;
;;;Só civis;Católicos;;;;;;HM;H;M;HM;H;M;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Sardoal;   17;   17;   9;   8;0;0;   27;   4;   23;   20;   12;   8;   83;   47;   36;;16I1417;;;;x
Sertã;   55;   55;   35;   20;0;0;   114;   21;   93;   102;   54;   48;   651;   357;   294;;16I0509;;;;x
Tomar;   78;   78;   63;   15;0;0;   297;   52;   245;   244;   132;   112;  1 351;   663;   688;;16I1418;;;;x
Torres Novas;   89;   89;   50;   39;0;0;   261;   61;   200;   106;   59;   47;   768;   396;   372;;16I1419;;;;x
Vila de Rei;   8;   8;   3;   5;0;0;   30;   2;   28;   13;   6;   7;   91;   46;   45;;16I0510;;;;x
Vila Nova da Barquinha;   75;   74;   48;   26;   1;0;   50;   11;   39;   17;   6;   11;   120;   51;   69;;16I1420;;;;x
   Beiras e Serra da Estrela;   539;   534;   315;   217;   2;   3;  1 736;   298;  1 438;  1 250;   675;   575;  6 123;  3 232;  2 891;;16J;;;x;
Almeida;   3;   3;   2;   1;0;0;   62;   2;   60;   8;   1;   7;   107;   41;   66;;16J0902;;;;x
Belmonte;   11;   11;   6;   5;0;0;   39;   8;   31;   34;   21;   13;   111;   65;   46;;16J0501;;;;x
Celorico da Beira;   13;   13;   10;   3;0;0;   50;   8;   42;   25;   9;   16;   169;   78;   91;;16J0903;;;;x
Covilhã;   122;   121;   90;   31;   1;0;   362;   76;   286;   422;   231;   191;  1 880;   993;   887;;16J0503;;;;x
Figueira de Castelo Rodrigo;   11;   11;   8;   3;0;0;   43;   2;   41;   6;   4;   2;   44;   21;   23;;16J0904;;;;x
Fornos de Algodres;   12;   12;   7;   5;0;0;   41;   4;   37;   6;   4;   2;   79;   44;   35;;16J0905;;;;x
Fundão;   86;   85;   49;   35;0;   1;   229;   33;   196;   324;   193;   131;  1 472;   816;   656;;16J0504;;;;x
Gouveia;   33;   32;   24;   8;0;   1;   112;   18;   94;   56;   29;   27;   246;   132;   114;;16J0906;;;;x
Guarda;   116;   116;   55;   61;0;0;   259;   61;   198;   203;   103;   100;  1 046;   555;   491;;16J0907;;;;x
Manteigas;   10;   10;   5;   5;0;0;   30;   5;   25;   13;   5;   8;   56;   26;   30;;16J0908;;;;x
Mêda;   15;   15;   7;   8;0;0;   31;   3;   28;   9;   6;   3;   41;   24;   17;;16J0909;;;;x
Pinhel;   17;   17;   8;   9;0;0;   86;   10;   76;   12;   5;   7;   91;   47;   44;;16J0910;;;;x
Sabugal;   15;   15;   8;   7;0;0;   109;   14;   95;   17;   9;   8;   145;   70;   75;;16J0911;;;;x
Seia;   53;   51;   27;   23;   1;   1;   206;   41;   165;   95;   43;   52;   518;   256;   262;;16J0912;;;;x
Trancoso;   22;   22;   9;   13;0;0;   77;   13;   64;   20;   12;   8;   118;   64;   54;;16J0913;;;;x
  A. M. Lisboa;  9 990;  9 587;  8 114;  1 428;   210;   193;  16 969;  5 116;  11 853;  71 817;  39 941;  31 876;  382 616;  199 951;  182 665;;170;;x;x;
Alcochete;   145;   142;   126;   16;0;   3;   125;   49;   76;   177;   99;   78;  1 440;   753;   687;;1701502;;;;x
Almada;   473;   462;   416;   44;   5;   6;  1 162;   345;   817;  3 810;  2 037;  1 773;  19 198;  9 730;  9 468;;1701503;;;;x
Amadora;   181;   174;   135;   37;   4;   3;   966;   271;   695;  4 629;  2 690;  1 939;  26 980;  14 166;  12 814;;1701115;;;;x
Barreiro;   359;   350;   311;   38;   3;   6;   581;   187;   394;  1 308;   673;   635;  6 890;  3 376;  3 514;;1701504;;;;x
Cascais;   661;   632;   586;   45;   14;   15;  1 272;   418;   854;  5 774;  2 963;  2 811;  36 381;  17 932;  18 449;;1701105;;;;x
Lisboa;  2 883;  2 714;  2 197;   509;   98;   71;  3 197;   820;  2 377;  25 169;  14 725;  10 444;  118 104;  65 631;  52 473;;1701106;;;;x
Loures;   582;   573;   443;   123;   5;   4;  1 171;   340;   831;  4 544;  2 567;  1 977;  23 910;  12 451;  11 459;;1701107;;;;x
Mafra;   443;   436;   330;   104;   3;   4;   471;   161;   310;  1 284;   671;   613;  6 979;  3 480;  3 499;;1701109;;;;x
Moita;   206;   202;   181;   20;   1;   3;   387;   112;   275;  1 063;   533;   530;  5 432;  2 617;  2 815;;1701506;;;;x
Montijo;   128;   125;   111;   14;   2;   1;   358;   105;   253;  1 164;   683;   481;  6 663;  3 706;  2 957;;1701507;;;;x
Odivelas;x;x;x;x;x;x;   883;   241;   642;  4 738;  2 886;  1 852;  23 766;  13 236;  10 530;;1701116;;;;x
Oeiras;   659;   637;   581;   53;   13;   9;   948;   259;   689;  2 762;  1 359;  1 403;  15 751;  7 565;  8 186;;1701110;;;;x
Palmela;   266;   258;   229;   29;   4;   4;   422;   139;   283;   609;   324;   285;  3 789;  1 928;  1 861;;1701508;;;;x
Seixal;   351;   340;   283;   52;   5;   6;  1 050;   338;   712;  2 881;  1 457;  1 424;  15 066;  7 428;  7 638;;1701510;;;;x
Sesimbra;   325;   317;   295;   22;   5;   3;   345;   110;   235;   543;   271;   272;  3 620;  1 800;  1 820;;1701511;;;;x
Setúbal;   903;   857;   751;   101;   26;   20;   796;   223;   573;  2 001;  1 051;   950;  10 975;  5 586;  5 389;;1701512;;;;x
Sintra;  1 163;  1 113;   923;   185;   19;   31;  2 068;   735;  1 333;  7 733;  4 107;  3 626;  47 607;  23 577;  24 030;;1701111;;;;x
Vila Franca de Xira;   262;   255;   216;   36;   3;   4;   767;   263;   504;  1 628;   845;   783;  10 065;  4 989;  5 076;;1701114;;;;x
  Alentejo;  2 326;  2 285;  1 636;   644;   24;   17;  5 385;  1 128;  4 257;  8 011;  5 349;  2 662;  44 357;  26 708;  17 649;;18;;x;;
   Alentejo Litoral;   269;   263;   219;   44;   2;   4;   622;   149;   473;  3 043;  2 287;   756;  16 394;  10 933;  5 461;;181;;;x;
Alcácer do Sal;   51;   49;   38;   11;0;   2;   90;   26;   64;   61;   38;   23;   489;   280;   209;;1811501;;;;x
Grândola;   35;   33;   29;   4;0;   2;   108;   24;   84;   189;   110;   79;   935;   490;   445;;1811505;;;;x
Odemira;   43;   41;   33;   8;   2;0;   166;   28;   138;  2 341;  1 870;   471;  12 287;  8 690;  3 597;;1810211;;;;x
Santiago do Cacém;   92;   92;   77;   15;0;0;   182;   51;   131;   235;   141;   94;  1 436;   787;   649;;1811509;;;;x
Sines;   48;   48;   42;   6;0;0;   76;   20;   56;   217;   128;   89;  1 247;   686;   561;;1811513;;;;x
   Baixo Alentejo;   333;   326;   267;   59;   5;   2;   897;   165;   732;  1 075;   797;   278;  5 526;  3 519;  2 007;;184;;;x;
Aljustrel;   10;   10;   8;   2;0;0;   73;   15;   58;   45;   32;   13;   217;   139;   78;;1840201;;;;x
Almodôvar;   18;   17;   14;   3;   1;0;   60;   10;   50;   44;   30;   14;   271;   144;   127;;1840202;;;;x
Alvito;   8;   8;   6;   2;0;0;   25;   3;   22;   17;   9;   8;   82;   36;   46;;1840203;;;;x
Barrancos;   4;   3;   3;0;   1;0;   17;   2;   15;   5;   1;   4;   23;   11;   12;;1840204;;;;x
Beja;   121;   121;   93;   28;0;0;   245;   52;   193;   437;   321;   116;  2 080;  1 326;   754;;1840205;;;;x
Castro Verde;   16;   15;   13;   2;0;   1;   48;   11;   37;   56;   37;   19;   242;   140;   102;;1840206;;;;x
Cuba;   13;   13;   11;   2;0;0;   40;   5;   35;   76;   62;   14;   381;   299;   82;;1840207;;;;x
Ferreira do Alentejo;   32;   32;   30;   2;0;0;   68;   15;   53;   179;   154;   25;   742;   562;   180;;1840208;;;;x
Mértola;   17;   14;   12;   2;   3;0;   60;   7;   53;   17;   10;   7;   184;   94;   90;;1840209;;;;x
Moura;   45;   45;   37;   8;0;0;   85;   16;   69;   29;   14;   15;   220;   117;   103;;1840210;;;;x
Ourique;   11;   11;   8;   3;0;0;   30;   5;   25;   32;   14;   18;   427;   204;   223;;1840212;;;;x
Serpa;   23;   23;   19;   4;0;0;   100;   17;   83;   112;   93;   19;   482;   343;   139;;1840213;;;;x
Vidigueira;   15;   14;   13;   1;0;   1;   46;   7;   39;   26;   20;   6;   175;   104;   71;;1840214;;;;x
   Lezíria do Tejo;   876;   861;   589;   269;   9;   6;  1 811;   435;  1 376;  2 457;  1 448;  1 009;  13 867;  7 776;  6 091;;185;;;x;
Almeirim;   64;   61;   52;   9;   2;   1;   161;   43;   118;   181;   102;   79;  1 094;   602;   492;;1851403;;;;x
Alpiarça;   17;   16;   13;   3;0;   1;   58;   16;   42;   40;   26;   14;   344;   196;   148;;1851404;;;;x
Azambuja;   111;   110;   83;   26;   1;0;   168;   48;   120;   265;   147;   118;  1 490;   775;   715;;1851103;;;;x
Benavente;   102;   100;   79;   20;   1;   1;   205;   67;   138;   313;   154;   159;  2 439;  1 240;  1 199;;1851405;;;;x
Cartaxo;   85;   85;   75;   10;0;0;   164;   41;   123;   252;   145;   107;  1 163;   640;   523;;1851406;;;;x
Chamusca;   10;   10;   9;   1;0;0;   69;   11;   58;   17;   8;   9;   129;   68;   61;;1851407;;;;x
Coruche;   34;   33;   18;   15;0;   1;   182;   26;   156;   48;   26;   22;   377;   201;   176;;1851409;;;;x
Golegã;   90;   89;   28;   61;   1;0;   57;   11;   46;   14;   10;   4;   141;   80;   61;;1851412;;;;x
Rio Maior;   58;   56;   34;   22;   1;   1;   148;   39;   109;   395;   261;   134;  2 026;  1 286;   740;;1851414;;;;x
Salvaterra de Magos;   73;   72;   55;   16;   1;0;   174;   33;   141;   108;   62;   46;   664;   352;   312;;1851415;;;;x
Santarém;   232;   229;   143;   86;   2;   1;   425;   100;   325;   824;   507;   317;  4 000;  2 336;  1 664;;1851416;;;;x
   Alto Alentejo;   295;   291;   175;   114;   2;   2;   916;   162;   754;   506;   299;   207;  3 175;  1 639;  1 536;;186;;;x;
Alter do Chão;   6;   5;   2;   3;0;   1;   32;   3;   29;   28;   12;   16;   123;   57;   66;;1861201;;;;x
Arronches;   5;   5;   3;   2;0;0;   28;   8;   20;   6;   5;   1;   75;   42;   33;;1861202;;;;x
Avis;   14;   14;   8;   6;0;0;   38;   6;   32;   8;   5;   3;   64;   35;   29;;1861203;;;;x
Campo Maior;   15;   15;   10;   5;0;0;   63;   13;   50;   17;   6;   11;   245;   113;   132;;1861204;;;;x
Castelo de Vide;   8;   8;   8;0;0;0;   36;   8;   28;   24;   13;   11;   145;   68;   77;;1861205;;;;x
Crato;   16;   16;   10;   6;0;0;   33;   2;   31;   5;   3;   2;   65;   32;   33;;1861206;;;;x
Elvas;   71;   70;   37;   33;   1;0;   161;   30;   131;   89;   60;   29;   676;   327;   349;;1861207;;;;x
Fronteira;   15;   15;   12;   3;0;0;   25;   2;   23;   26;   15;   11;   81;   43;   38;;1861208;;;;x
Gavião;   21;   21;   16;   4;0;0;   39;   4;   35;   2;0;   2;   22;   13;   9;;1861209;;;;x
Marvão;   4;   4;   3;   1;0;0;   38;   6;   32;   42;   23;   19;   234;   123;   111;;1861210;;;;x
Monforte;   3;   3;   2;   1;0;0;   32;   3;   29;   7;   4;   3;   43;   27;   16;;1861211;;;;x
Nisa;   10;   10;   2;   8;0;0;   73;   9;   64;   19;   9;   10;   105;   53;   52;;1861212;;;;x
Ponte de Sor;   34;   34;   21;   13;0;0;   125;   25;   100;   84;   58;   26;   440;   250;   190;;1861213;;;;x
Portalegre;   65;   63;   35;   27;   1;   1;   153;   35;   118;   136;   77;   59;   746;   395;   351;;1861214;;;;x
Sousel;   8;   8;   6;   2;0;0;   40;   8;   32;   13;   9;   4;   111;   61;   50;;1861215;;;;x
   Alentejo Central;   553;   544;   386;   158;   6;   3;  1 139;   217;   922;   930;   518;   412;  5 395;  2 841;  2 554;;187;;;x;
Alandroal;   17;   17;   14;   3;0;0;   44;   4;   40;   24;   14;   10;   129;   75;   54;;1870701;;;;x
Arraiolos;   28;   28;   20;   8;0;0;   54;   5;   49;   21;   9;   12;   155;   81;   74;;1870702;;;;x
Borba;   7;   7;   4;   3;0;0;   56;   15;   41;   10;   6;   4;   120;   51;   69;;1870703;;;;x
Estremoz;   45;   44;   26;   18;0;   1;   115;   12;   103;   39;   22;   17;   344;   170;   174;;1870704;;;;x
Évora;   217;   214;   149;   65;   2;   1;   349;   87;   262;   447;   218;   229;  2 494;  1 262;  1 232;;1870705;;;;x
Montemor-o-Novo;   48;   47;   44;   3;   1;0;   133;   26;   107;   105;   69;   36;   537;   289;   248;;1870706;;;;x
Mora;   7;   7;   6;   1;0;0;   40;   7;   33;   9;   2;   7;   55;   26;   29;;1870707;;;;x
Mourão;   12;   12;   9;   3;0;0;   23;   3;   20;   20;   13;   7;   70;   43;   27;;1870708;;;;x
Portel;   11;   10;   8;   2;   1;0;   41;   6;   35;   12;   7;   5;   137;   81;   56;;1870709;;;;x
Redondo;   14;   14;   11;   3;0;0;   55;   8;   47;   17;   11;   6;   183;   100;   83;;1870710;;;;x
Reguengos de Monsaraz;   37;   36;   29;   7;   1;0;   61;   16;   45;   48;   28;   20;   333;   193;   140;;1870711;;;;x
Vendas Novas;   51;   50;   34;   16;   1;0;   89;   15;   74;   127;   88;   39;   577;   338;   239;;1870712;;;;x
Viana do Alentejo;   18;   18;   10;   8;0;0;   34;   7;   27;   13;   9;   4;   116;   63;   53;;1870713;;;;x
Vila Viçosa;   41;   40;   22;   18;0;   1;   45;   6;   39;   38;   22;   16;   145;   69;   76;;1870714;;;;x
  Algarve;  1 933;  1 882;  1 615;   260;   26;   25;  3 074;   833;  2 241;  13 204;  7 387;  5 817;  109 636;  58 436;  51 200;;150;;x;x;
Albufeira;   261;   253;   226;   27;   6;   2;   248;   86;   162;  1 974;  1 121;   853;  16 779;  9 042;  7 737;;1500801;;;;x
Alcoutim;   31;   31;   30;   1;0;0;   31;   4;   27;   18;   9;   9;   243;   130;   113;;1500802;;;;x
Aljezur;   48;   46;   46;0;   1;   1;   38;   4;   34;   263;   143;   120;  2 264;  1 141;  1 123;;1500803;;;;x
Castro Marim;   69;   69;   48;   20;0;0;   49;   13;   36;   100;   59;   41;   979;   541;   438;;1500804;;;;x
Faro;   128;   124;   97;   26;   2;   2;   451;   140;   311;  1 543;   914;   629;  10 322;  5 662;  4 660;;1500805;;;;x
Lagoa;   60;   60;   48;   12;0;0;   147;   35;   112;   569;   309;   260;  5 574;  2 897;  2 677;;1500806;;;;x
Lagos;   225;   218;   197;   21;   3;   4;   209;   44;   165;  1 248;   653;   595;  12 165;  6 307;  5 858;;1500807;;;;x
Loulé;   320;   314;   257;   56;0;   6;   466;   111;   355;  2 373;  1 266;  1 107;  19 364;  10 069;  9 295;;1500808;;;;x
Monchique;   41;   38;   24;   13;   2;   1;   52;   6;   46;   82;   48;   34;   934;   509;   425;;1500809;;;;x
Olhão;   70;   68;   57;   9;   1;   1;   303;   88;   215;   647;   365;   282;  5 515;  2 931;  2 584;;1500810;;;;x
Portimão;   138;   135;   119;   16;0;   3;   407;   139;   268;  1 840;  1 012;   828;  13 036;  6 964;  6 072;;1500811;;;;x
São Brás de Alportel;   274;   268;   247;   21;   4;   2;   74;   20;   54;   171;   90;   81;  1 683;   821;   862;;1500812;;;;x
Silves;   77;   76;   70;   6;0;   1;   228;   52;   176;   909;   537;   372;  7 622;  4 228;  3 394;;1500813;;;;x
Tavira;   75;   72;   47;   24;   3;0;   197;   48;   149;   832;   498;   334;  7 406;  4 108;  3 298;;1500814;;;;x
Vila do Bispo;   61;   57;   57;0;   3;   1;   43;   9;   34;   256;   139;   117;  2 446;  1 230;  1 216;;1500815;;;;x
Vila Real de Santo António;   55;   53;   45;   8;   1;   1;   131;   34;   97;   379;   224;   155;  3 304;  1 856;  1 448;;1500816;;;;x
 R. A. Açores;   919;   900;   652;   246;   12;   7;  1 630;   581;  1 049;   890;   441;   449;  5 105;  2 575;  2 530;;200;x;x;x;
  Santa Maria;   10;   10;   7;   3;   0;   0;   39;   9;   30;   39;   19;   20;   204;   107;   97;;-;;;;
Vila do Porto;   10;   10;   7;   3;0;0;   39;   9;   30;   39;   19;   20;   204;   107;   97;;2004101;;;;x
  São Miguel;   544;   530;   403;   125;   10;   4;   881;   365;   516;   411;   198;   213;  2 319;  1 175;  1 144;;-;;;;
Lagoa (R.A.A.);   132;   127;   114;   13;   3;   2;   92;   33;   59;   30;   16;   14;   196;   111;   85;;2004201;;;;x
Nordeste;   21;   20;   16;   4;   1;0;   38;   9;   29;   10;   3;   7;   70;   34;   36;;2004202;;;;x
Ponta Delgada;   215;   208;   149;   59;   5;   2;   483;   226;   257;   294;   138;   156;  1 553;   779;   774;;2004203;;;;x
Povoação;   20;   19;   14;   5;   1;0;   46;   13;   33;   10;   3;   7;   98;   51;   47;;2004204;;;;x
Ribeira Grande;   105;   105;   71;   32;0;0;   163;   68;   95;   52;   33;   19;   301;   157;   144;;2004205;;;;x
Vila Franca do Campo;   51;   51;   39;   12;0;0;   59;   16;   43;   15;   5;   10;   101;   43;   58;;2004206;;;;x
  Terceira;   213;   208;   138;   70;   2;   3;   394;   118;   276;   151;   65;   86;   764;   370;   394;;-;;;;
Angra do Heroísmo;   162;   157;   102;   55;   2;   3;   239;   66;   173;   101;   43;   58;   508;   253;   255;;2004301;;;;x
Vila da Praia da Vitória;   51;   51;   36;   15;0;0;   155;   52;   103;   50;   22;   28;   256;   117;   139;;2004302;;;;x
  Graciosa;   7;   7;   3;   4;   0;   0;   31;   10;   21;   14;   9;   5;   58;   32;   26;;-;;;;
Santa Cruz da Graciosa;   7;   7;   3;   4;0;0;   31;   10;   21;   14;   9;   5;   58;   32;   26;;2004401;;;;x
  São Jorge;   19;   19;   15;   4;   0;   0;   64;   15;   49;   28;   13;   15;   161;   77;   84;;-;;;;
Calheta (R.A.A.);   3;   3;   2;   1;0;0;   31;   7;   24;   5;   1;   4;   42;   24;   18;;2004501;;;;x
Velas;   16;   16;   13;   3;0;0;   33;   8;   25;   23;   12;   11;   119;   53;   66;;2004502;;;;x
  Pico;   62;   62;   44;   18;   0;   0;   112;   34;   78;   87;   49;   38;   571;   294;   277;;-;;;;
Lajes do Pico;   15;   15;   13;   2;0;0;   43;   12;   31;   24;   12;   12;   179;   79;   100;;2004601;;;;x
Madalena;   32;   32;   19;   13;0;0;   51;   15;   36;   40;   25;   15;   238;   124;   114;;2004602;;;;x
São Roque do Pico;   15;   15;   12;   3;0;0;   18;   7;   11;   23;   12;   11;   154;   91;   63;;2004603;;;;x
  Faial;   53;   53;   34;   19;   0;   0;   82;   22;   60;   134;   78;   56;   833;   428;   405;;-;;;;
Horta;   53;   53;   34;   19;0;0;   82;   22;   60;   134;   78;   56;   833;   428;   405;;2004701;;;;x
  Flores;   10;   10;   8;   2;   0;   0;   26;   7;   19;   23;   9;   14;   183;   87;   96;;-;;;;
Lajes das Flores;   3;   3;   3;0;0;0;   8;   1;   7;   18;   7;   11;   126;   60;   66;;2004801;;;;x
Santa Cruz das Flores;   7;   7;   5;   2;0;0;   18;   6;   12;   5;   2;   3;   57;   27;   30;;2004802;;;;x
  Corvo;   1;   1;0;   1;0;0;   1;   1;   0;   3;   1;   2;   12;   5;   7;;-;;;;
Corvo;   1;   1;0;   1;0;0;   1;   1;   0;   3;   1;   2;   12;   5;   7;;2004901;;;;x
 R. A. Madeira;  1 139;  1 110;   796;   312;   11;   18;  1 655;   553;  1 102;  2 103;  1 047;  1 056;  11 793;  5 848;  5 945;;300;x;x;x;
Calheta (R.A.M.);   76;   71;   56;   15;   1;   4;   87;   23;   64;   210;   102;   108;  1 178;   601;   577;;3003101;;;;x
Câmara de Lobos;   92;   90;   56;   34;   1;   1;   194;   66;   128;   94;   45;   49;   529;   262;   267;;3003102;;;;x
Funchal;   485;   478;   305;   171;   3;   4;   683;   217;   466;  1 165;   589;   576;  6 032;  3 059;  2 973;;3003103;;;;x
Machico;   86;   86;   61;   25;0;0;   132;   38;   94;   69;   32;   37;   433;   199;   234;;3003104;;;;x
Ponta do Sol;   55;   52;   40;   12;   1;   2;   51;   21;   30;   81;   37;   44;   553;   254;   299;;3003105;;;;x
Porto Moniz;   45;   42;   41;   1;   1;   2;   19;   3;   16;   18;   7;   11;   100;   44;   56;;3003106;;;;x
Ribeira Brava;   56;   55;   38;   17;0;   1;   90;   27;   63;   81;   40;   41;   553;   255;   298;;3003107;;;;x
Santa Cruz;   164;   158;   133;   25;   2;   4;   262;   119;   143;   218;   120;   98;  1 571;   770;   801;;3003108;;;;x
Santana;   27;   26;   22;   4;   1;0;   58;   13;   45;   71;   32;   39;   183;   85;   98;;3003109;;;;x
São Vicente;   17;   16;   15;   1;   1;0;   40;   11;   29;   38;   15;   23;   208;   100;   108;;3003110;;;;x
Porto Santo;   36;   36;   29;   7;0;0;   39;   15;   24;   58;   28;   30;   453;   219;   234;;3003201;;;;x
;Marriages;;;;;;Dissolved marriages;;;Foreign population who has been granted a resident title;;;Foreign population with resident status;;;;;;;;
;Total;Opposite sex couples;;;Same-sex couples;;;;;;;;;;;;;;;;
;;Total;of which;;Male;Female;Total;by divorce;by death;;;;;;;;;;;;
;;;Only civil;Catholic;;;;;;MF;M;F;MF;M;F;;;;;;
© INE, I.P., Portugal, 2023. Informação disponível até 16 de outubro de 2023. Information available till 16th October, 2023.;;;;;;;;;;;;;;;;;;;;;
"Fonte: INE, I.P., Estatísticas Demográficas; População estrangeira que solicitou estatuto de residente.";;;;;;;;;;;;;;;;;;;;;
"Source: Statistics Portugal, Demographic Statistics; Foreign population which requested resident status.";;;;;;;;;;;;;;;;;;;;;
"Nota: Os valores incluem casamentos celebrados e dissolvidos entre pessoas de sexo oposto e do mesmo sexo. 
O indicador “Casamentos dissolvidos por morte” é apresentado segundo a distribuição geográfica de residência do cônjuge falecido. 
O indicador “Casamentos” é apresentado segundo a distribuição geográfica do registo, ou seja, do local onde se situa a conservatória do registo civil onde foi lavrado o assento do casamento. Este indicador não apresenta dados para o município de Odivelas devido à inexistência de Conservatória de Registo Civil neste município.
O indicador ""Casamentos dissolvidos por divórcio"" diz respeito aos divórcios decretados em Portugal de indivíduos residentes em Portugal.
O indicador “População estrangeira com estatuto de residente” compreende exclusivamente os indivíduos de nacionalidade estrangeira detentores de um título de residência valido.";;;;;;;;;;;;;;;;;;;;;
"Note: The values include civil marriages and dissolved marriages between different sex and same sex individuals.
The indicator “Marriages dissolved by death” is presented by geographical breakdown of the deceased spouse. 
The indicator “Marriages” is presented by geographical breakdown of the location of the civil register where the marriage was drawn up. This indicator is not available for the municipality of Odivelas due to the non-existence of a Civil Register Office in that municipality.
The indicator ""Marriages dissolved by divorce"" correspond to divorces decreed in Portugal from individuals residing in Portugal.
The indicator “Foreign population with resident status” only includes foreigners with a valid residence title.";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Para mais informação consulte / For more information see:;;;;;;;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008138;;http://www.ine.pt/xurl/ind/0008162;;;;;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008126;;http://www.ine.pt/xurl/ind/0008627;;;;;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0010246;;http://www.ine.pt/xurl/ind/0009107;;;;;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008365;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
