;;;;;;;;;;;;;;;;;;;;;
II.1.3 - Movimento da população e população estrangeira por município, 2022 (continuação);;;;;;;;;;;;;;;;;;;;;
II.1.3 - Population changes and foreign population by municipality, 2022 (continued);;;;;;;;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;;;;;;;Unit: No.;;;;;;
;Casamentos;;;;;;Casamentos dissolvidos;;;População estrangeira a quem foi concedido título de residência;;;População estrangeira com estatuto de residente;;;;;;;;
;Total;Entre pessoas de sexo oposto;;;Entre pessoas do mesmo sexo;;;;;;;;;;;;;;;;
;;Total;dos quais;;Masculino;Feminino;Total;por divórcio;por morte;;;;;;;;;Desagregação Territorial;;;
;;;Só civis;Católicos;;;;;;HM;H;M;HM;H;M;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Santo Tirso;   245;   239;   153;   86;   2;   4;   463;   116;   347;   129;   66;   63;   758;   342;   416;;11A1314;;;;x
São João da Madeira;   154;   154;   118;   35;0;0;   151;   48;   103;   249;   131;   118;  1 208;   603;   605;;11A0116;;;;x
Trofa;   123;   122;   57;   65;0;   1;   227;   73;   154;   228;   127;   101;  1 021;   586;   435;;11A1318;;;;x
Vale de Cambra;   93;   93;   59;   34;0;0;   174;   41;   133;   114;   56;   58;   551;   290;   261;;11A0119;;;;x
Valongo;   536;   532;   380;   150;   3;   1;   565;   183;   382;   375;   192;   183;  2 095;  1 022;  1 073;;11A1315;;;;x
Vila do Conde;   438;   428;   317;   111;   2;   8;   509;   195;   314;   504;   287;   217;  3 252;  1 773;  1 479;;11A1316;;;;x
Vila Nova de Gaia;   936;   923;   662;   259;   8;   5;  1 888;   507;  1 381;  2 478;  1 252;  1 226;  12 372;  5 855;  6 517;;11A1317;;;;x
   Alto Tâmega;   268;   268;   177;   90;0;0;   724;   147;   577;   246;   114;   132;  1 479;   701;   778;;11B;;;x;
Boticas;   10;   10;   6;   4;0;0;   42;   4;   38;   5;   1;   4;   51;   23;   28;;11B1702;;;;x
Chaves;   165;   165;   122;   43;0;0;   321;   80;   241;   168;   66;   102;   835;   352;   483;;11B1703;;;;x
Montalegre;   6;   6;   1;   5;0;0;   87;   18;   69;   16;   11;   5;   111;   58;   53;;11B1706;;;;x
Ribeira de Pena;   19;   19;   14;   5;0;0;   52;   6;   46;   11;   10;   1;   102;   75;   27;;11B1709;;;;x
Valpaços;   40;   40;   23;   16;0;0;   108;   19;   89;   23;   12;   11;   193;   76;   117;;11B1712;;;;x
Vila Pouca de Aguiar;   28;   28;   11;   17;0;0;   114;   20;   94;   23;   14;   9;   187;   117;   70;;11B1713;;;;x
   Tâmega e Sousa;  1 548;  1 540;   801;   738;   4;   4;  2 417;   697;  1 720;  1 043;   673;   370;  4 315;  2 310;  2 005;;11C;;;x;
Amarante;   207;   207;   104;   103;0;0;   343;   104;   239;   98;   67;   31;   558;   289;   269;;11C1301;;;;x
Baião;   54;   54;   26;   28;0;0;   99;   19;   80;   30;   16;   14;   143;   82;   61;;11C1302;;;;x
