;;;;;;;;;;;;;;;;;
II.1.4 - População estrangeira com estatuto de residente segundo as principais nacionalidades por município, 2022;;;;;;;;;;;;;;;;;
II.1.4 - Foreign population with resident status according to main nationalities by municipality, 2022;;;;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;;;Unit: No.;;;Desagregação Territorial;;;
;Total;Brasil ;Ucrânia;Cabo Verde;Roménia;Angola;Guiné Bissau;Reino Unido;Moldávia;China;São Tomé e Príncipe;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Ferreira do Alentejo;   742;   52;   10;   1;   126;   3;   8;   64;   15;   11;0;;1840208;;;;x
Mértola;   184;   41;   6;   5;   7;   1;   4;   30;0;   7;0;;1840209;;;;x
Moura;   220;   23;   4;   3;   83;   2;   3;0;0;   28;   4;;1840210;;;;x
Ourique;   427;   36;   10;0;   6;   3;0;   204;   2;   8;0;;1840212;;;;x
Serpa;   482;   72;   17;   3;   53;   1;   6;   12;   3;   15;0;;1840213;;;;x
Vidigueira;   175;   27;   31;   7;   29;   1;0;   3;   7;   6;0;;1840214;;;;x
   Lezíria do Tejo;  13 867;  4 683;  1 075;   106;  1 159;   414;   124;   257;   165;   787;   49;;185;;;x;
Almeirim;  1 094;   312;   54;   12;   170;   28;   2;   18;   7;   46;0;;1851403;;;;x
Alpiarça;   344;   46;   23;0;   116;   5;   2;   6;0;   8;0;;1851404;;;;x
Azambuja;  1 490;   729;   179;   11;   46;   54;   26;   27;   18;   18;   9;;1851103;;;;x
Benavente;  2 439;   975;   188;   11;   203;   71;   6;   19;   56;   446;   11;;1851405;;;;x
Cartaxo;  1 163;   517;   112;   6;   24;   19;   4;   33;   13;   32;   2;;1851406;;;;x
Chamusca;   129;   33;   4;0;   26;   2;   1;   3;0;   16;   1;;1851407;;;;x
Coruche;   377;   99;   48;   1;   21;   8;0;   10;   2;   22;0;;1851409;;;;x
Golegã;   141;   13;   5;   2;   12;   2;0;   8;0;   15;   1;;1851412;;;;x
Rio Maior;  2 026;   569;   160;   15;   81;   32;   15;   49;   18;   29;   4;;1851414;;;;x
Salvaterra de Magos;   664;   303;   42;   9;   33;   23;   1;   16;0;   29;   2;;1851415;;;;x
Santarém;  4 000;  1 087;   260;   39;   427;   170;   67;   68;   51;   126;   19;;1851416;;;;x
   Alto Alentejo;  3 175;   782;   106;   92;   414;   55;   29;   200;   70;   136;   19;;186;;;x;
Alter do Chão;   123;   41;0;0;   63;   3;0;0;   4;   2;0;;1861201;;;;x
Arronches;   75;   4;0;   1;   8;0;   2;   18;   5;   6;0;;1861202;;;;x
Avis;   64;   18;0;0;   15;0;   1;   5;   2;   3;0;;1861203;;;;x
Campo Maior;   245;   55;   3;   1;   96;   1;0;   1;   30;   3;0;;1861204;;;;x
Castelo de Vide;   145;   10;   11;0;   2;   1;0;   26;0;   3;0;;1861205;;;;x
Crato;   65;   17;   3;   2;   22;0;0;   4;   2;   3;   2;;1861206;;;;x
Elvas;   676;   175;   35;   3;   91;   19;   5;   17;   16;   26;   1;;1861207;;;;x
Fronteira;   81;   25;   1;0;   25;0;0;   2;   1;0;0;;1861208;;;;x
Gavião;   22;   9;   2;0;   2;   1;0;   2;0;   3;0;;1861209;;;;x
Marvão;   234;   22;   1;0;   1;0;0;   55;0;0;0;;1861210;;;;x
Monforte;   43;   9;   7;   1;   7;   1;0;0;   4;   3;0;;1861211;;;;x
Nisa;   105;   14;   1;   1;   8;   1;0;   4;0;   8;   1;;1861212;;;;x
Ponte de Sor;   440;   172;   22;   6;   20;   3;   3;   14;0;   23;0;;1861213;;;;x
Portalegre;   746;   171;   20;   76;   24;   25;   17;   47;   6;   40;   15;;1861214;;;;x
Sousel;   111;   40;0;   1;   30;0;   1;   5;0;   13;0;;1861215;;;;x
   Alentejo Central;  5 395;  1 920;   259;   182;   456;   112;   41;   154;   89;   295;   21;;187;;;x;
Alandroal;   129;   20;   7;0;   10;   1;   1;   18;   1;   1;0;;1870701;;;;x
Arraiolos;   155;   31;   2;0;   10;   1;   6;   15;   3;   16;0;;1870702;;;;x
Borba;   120;   42;   9;   2;   27;   4;   4;   3;0;   8;0;;1870703;;;;x
Estremoz;   344;   83;   26;   4;   95;0;0;   34;   1;   14;0;;1870704;;;;x
Évora;  2 494;  1 108;   113;   151;   57;   81;   28;   45;   23;   113;   12;;1870705;;;;x
Montemor-o-Novo;   537;   248;   21;   7;   33;   9;0;   6;   1;   36;   4;;1870706;;;;x
Mora;   55;   7;   1;0;   17;   1;0;   3;0;   8;   1;;1870707;;;;x
Mourão;   70;   3;0;0;   12;0;0;   4;   19;   2;0;;1870708;;;;x
Portel;   137;   41;   6;   1;   16;   2;0;   3;   2;   6;   1;;1870709;;;;x
Redondo;   183;   40;   14;   1;   70;0;0;   6;   2;   7;   1;;1870710;;;;x
Reguengos de Monsaraz;   333;   87;   21;   1;   76;   2;0;   14;   32;   17;0;;1870711;;;;x
Vendas Novas;   577;   130;   29;   5;   26;   9;   2;   3;   3;   35;   2;;1870712;;;;x
Viana do Alentejo;   116;   44;   10;   10;   2;   2;0;0;   2;   10;0;;1870713;;;;x
Vila Viçosa;   145;   36;0;0;   5;0;0;0;0;   22;0;;1870714;;;;x
  Algarve;  109 636;  19 439;  5 101;  1 853;  5 204;   645;  1 378;  21 929;  1 808;  1 414;   120;;150;;x;x;
Albufeira;  16 779;  3 712;  1 070;   270;   523;   94;   483;  2 751;   237;   280;   27;;1500801;;;;x
Alcoutim;   243;   6;   2;   4;   4;0;0;   102;0;   3;0;;1500802;;;;x
Aljezur;  2 264;   201;   48;   4;   29;   3;   8;   468;   12;   12;0;;1500803;;;;x
Castro Marim;   979;   54;   24;   1;   24;   2;   1;   155;   1;   4;   1;;1500804;;;;x
Faro;  10 322;  2 586;   746;   255;   561;   74;   165;   845;   240;   146;   6;;1500805;;;;x
Lagoa;  5 574;   692;   182;   115;   67;   32;   44;  1 753;   42;   55;   3;;1500806;;;;x
Lagos;  12 165;  1 500;   318;   79;   448;   39;   10;  3 796;   156;   156;   13;;1500807;;;;x
Loulé;  19 364;  3 793;   931;   568;  1 620;   136;   160;  4 145;   315;   244;   16;;1500808;;;;x
Monchique;   934;   39;   6;   4;   53;   1;0;   355;0;   3;0;;1500809;;;;x
Olhão;  5 515;   845;   317;   120;   270;   72;   131;   792;   31;   69;   10;;1500810;;;;x
Portimão;  13 036;  3 542;   697;   228;   747;   123;   261;  1 437;   560;   185;   22;;1500811;;;;x
São Brás de Alportel;  1 683;   225;   115;   14;   20;   10;   1;   637;   16;   20;   1;;1500812;;;;x
Silves;  7 622;  1 258;   295;   90;   321;   31;   91;  1 679;   158;   97;   9;;1500813;;;;x
Tavira;  7 406;   496;   160;   48;   324;   14;   14;  1 867;   28;   52;0;;1500814;;;;x
Vila do Bispo;  2 446;   154;   56;   38;   45;   2;   4;   824;   1;   8;   9;;1500815;;;;x
Vila Real de Santo António;  3 304;   336;   134;   15;   148;   12;   5;   323;   11;   80;   3;;1500816;;;;x
 R. A. Açores;  5 105;  1 021;   71;   200;   43;   39;   36;   262;   2;   337;   14;;200;x;x;x;
  Santa Maria;   204;   14;   0;   2;   0;   0;   0;   19;   0;   2;   0;;-;;;;
Vila do Porto;   204;   14;0;   2;0;0;0;   19;0;   2;0;;2004101;;;;x
  São Miguel;  2 319;   423;   29;   35;   30;   17;   22;   71;   0;   216;   2;;-;;;;
Lagoa (R.A.A.);   196;   32;0;   3;   3;0;0;   6;0;   17;0;;2004201;;;;x
Nordeste;   70;   11;0;   1;0;0;   1;   2;0;   2;0;;2004202;;;;x
Ponta Delgada;  1 553;   292;   19;   29;   22;   17;   19;   35;0;   127;   2;;2004203;;;;x
Povoação;   98;   13;   4;0;   2;0;0;   6;0;   14;0;;2004204;;;;x
Ribeira Grande;   301;   66;   6;   1;   3;0;   2;   12;0;   47;0;;2004205;;;;x
Vila Franca do Campo;   101;   9;0;   1;0;0;0;   10;0;   9;0;;2004206;;;;x
  Terceira;   764;   204;   17;   40;   7;   11;   11;   28;   0;   46;   6;;-;;;;
Angra do Heroísmo;   508;   129;   9;   27;   5;   8;   9;   23;0;   34;   4;;2004301;;;;x
Vila da Praia da Vitória;   256;   75;   8;   13;   2;   3;   2;   5;0;   12;   2;;2004302;;;;x
  Graciosa;   58;   17;   0;   0;   0;   0;   0;   2;   0;   4;   0;;-;;;;
Santa Cruz da Graciosa;   58;   17;0;0;0;0;0;   2;0;   4;0;;2004401;;;;x
  São Jorge;   161;   65;   2;   2;   2;   2;   2;   5;   1;   12;   0;;-;;;;
Calheta (R.A.A.);   42;   17;   1;   1;   2;0;0;   3;   1;   2;0;;2004501;;;;x
Velas;   119;   48;   1;   1;0;   2;   2;   2;0;   10;0;;2004502;;;;x
  Pico;   571;   131;   9;   67;   0;   2;   0;   31;   1;   25;   3;;-;;;;
Lajes do Pico;   179;   44;   1;   3;0;0;0;   14;   1;   2;0;;2004601;;;;x
Madalena;   238;   62;   5;   34;0;   2;0;   8;0;   16;0;;2004602;;;;x
São Roque do Pico;   154;   25;   3;   30;0;0;0;   9;0;   7;   3;;2004603;;;;x
  Faial;   833;   145;   8;   47;   2;   7;   0;   100;   0;   25;   3;;-;;;;
Horta;   833;   145;   8;   47;   2;   7;0;   100;0;   25;   3;;2004701;;;;x
  Flores;   183;   16;   5;   6;   2;   0;   1;   6;   0;   7;   0;;-;;;;
Lajes das Flores;   126;   11;   2;   1;   1;0;   1;   4;0;   2;0;;2004801;;;;x
Santa Cruz das Flores;   57;   5;   3;   5;   1;0;0;   2;0;   5;0;;2004802;;;;x
  Corvo;   12;   6;   1;   1;0;0;0;0;0;0;0;;-;;;;
Corvo;   12;   6;   1;   1;0;0;0;0;0;0;0;;2004901;;;;x
 R. A. Madeira;  11 793;  1 080;   232;   70;   224;   42;   39;  1 390;   21;   241;   206;;300;x;x;x;
Calheta (R.A.M.);  1 178;   18;   7;0;   6;0;   1;   271;0;   5;0;;3003101;;;;x
Câmara de Lobos;   529;   79;   3;   1;   6;0;   3;   26;0;   7;   1;;3003102;;;;x
Funchal;  6 032;   629;   169;   53;   143;   32;   25;   645;   16;   155;   105;;3003103;;;;x
Machico;   433;   75;   14;   7;   5;   1;0;   42;0;   16;   3;;3003104;;;;x
Ponta do Sol;   553;   7;   4;   1;   6;0;0;   96;0;   6;0;;3003105;;;;x
Porto Moniz;   100;   2;0;0;   1;0;0;   3;0;   1;0;;3003106;;;;x
Ribeira Brava;   553;   28;   3;0;   1;   2;0;   49;0;   5;0;;3003107;;;;x
Santa Cruz;  1 571;   174;   25;   7;   22;   3;   4;   166;   1;   33;   2;;3003108;;;;x
Santana;   183;   15;   1;0;   1;   1;0;   12;0;0;   32;;3003109;;;;x
São Vicente;   208;   12;0;0;   3;   1;0;   18;0;   6;0;;3003110;;;;x
Porto Santo;   453;   41;   6;   1;   30;   2;   6;   62;   4;   7;   63;;3003201;;;;x
;Total;Brazil;Ukraine;Cabo Verde;Romania;Angola;Guinea-Bissau;United Kingdom;Moldavia;China;São Tomé and Príncipe;;;;;;
© INE, I.P., Portugal, 2023. Informação disponível até 16 de outubro de 2023. Information available till 16th October, 2023.;;;;;;;;;;;;;;;;;
"Fonte: INE, I.P., Estatísticas Demográficas; População estrangeira que solicitou estatuto de residente.";;;;;;;;;;;;;;;;;
"Source: Statistics Portugal, Demographic Statistics; Foreign population which requested resident status.";;;;;;;;;;;;;;;;;
Nota: A população estrangeira com estatuto de residente compreende exclusivamente os indivíduos de nacionalidade estrangeira detentores de um título de residência válido.;;;;;;;;;;;;;;;;;
Note: Foreign population with resident status only includes foreigners with a valid residence title.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Para mais informação consulte / For more information see:;;;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0010247;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
